MeshHeading	count	Unconquerables	% Unconquerables	MEDLINE journals OA compliant	% MEDLINE journals OA compliant
Affective Symptoms	1	0	0.0	1	1.0
Africa	8	2	0.25	6	0.75
Africa, Eastern	1	0	0.0	1	1.0
Africa, Western	3	0	0.0	3	1.0
African Americans	4	1	0.25	3	0.75
Aftercare	5	0	0.0	5	1.0
Agaricales	1	0	0.0	1	1.0
Aged	29	0	0.0	29	1.0
Aggression	1	0	0.0	1	1.0
Aging	41	1	0.024390243902439025	40	0.975609756097561
Agricultural Workers' Diseases	3	0	0.0	3	1.0
Agriculture	18	1	0.05555555555555555	17	0.9444444444444444
Agrochemicals	1	0	0.0	1	1.0
Air Microbiology	2	0	0.0	2	1.0
Air Pollutants	3	1	0.3333333333333333	2	0.6666666666666666
Air Pollution	12	0	0.0	12	1.0
Air Pollution, Indoor	1	0	0.0	1	1.0
Aircraft	3	0	0.0	3	1.0
Alabama	2	0	0.0	2	1.0
Alaska	5	1	0.2	4	0.8
Alberta	2	0	0.0	2	1.0
Alchemy	1	0	0.0	1	1.0
Alcohol Drinking	3	1	0.3333333333333333	2	0.6666666666666666
Alcohol-Related Disorders	2	1	0.5	1	0.5
Alcoholic Beverages	2	1	0.5	1	0.5
Alcoholic Intoxication	1	0	0.0	1	1.0
Alcoholism	28	2	0.07142857142857142	26	0.9285714285714286
Alkaloids	1	1	1.0	0	0.0
Allergens	1	0	0.0	1	1.0
Allergy and Immunology	145	8	0.05517241379310345	137	0.9448275862068966
Allied Health Personnel	9	0	0.0	9	1.0
Altitude	3	0	0.0	3	1.0
Altitude Sickness	1	0	0.0	1	1.0
Alzheimer Disease	7	0	0.0	7	1.0
Ambulatory Care	6	0	0.0	6	1.0
Ambulatory Care Facilities	1	0	0.0	1	1.0
Ambulatory Surgical Procedures	1	0	0.0	1	1.0
Americas	2	0	0.0	2	1.0
Amino Acid Sequence	2	0	0.0	2	1.0
Amino Acids	2	0	0.0	2	1.0
Amyloid	1	0	0.0	1	1.0
Amyloidosis	1	0	0.0	1	1.0
Amyotrophic Lateral Sclerosis	3	0	0.0	3	1.0
Anaerobiosis	1	0	0.0	1	1.0
Analgesia	5	0	0.0	5	1.0
Analgesics	2	0	0.0	2	1.0
Analgesics, Opioid	1	1	1.0	0	0.0
Anatomy	64	3	0.046875	61	0.953125
Anatomy, Comparative	5	0	0.0	5	1.0
Anatomy, Veterinary	2	0	0.0	2	1.0
Androgens	1	0	0.0	1	1.0
Andrology	2	0	0.0	2	1.0
Anesthesia	28	3	0.10714285714285714	25	0.8928571428571429
Anesthesia Recovery Period	1	0	0.0	1	1.0
Anesthesia, Conduction	3	0	0.0	3	1.0
Anesthesia, Dental	9	1	0.1111111111111111	8	0.8888888888888888
Anesthesia, Local	1	0	0.0	1	1.0
Anesthesia, Obstetrical	1	0	0.0	1	1.0
Anesthesiology	63	3	0.047619047619047616	60	0.9523809523809523
Anesthetics	7	0	0.0	7	1.0
Angiocardiography	4	0	0.0	4	1.0
Angiography	7	1	0.14285714285714285	6	0.8571428571428571
Angioplasty	1	0	0.0	1	1.0
Angioscopy	1	0	0.0	1	1.0
Animal Diseases	29	4	0.13793103448275862	25	0.8620689655172413
Animal Feed	2	0	0.0	2	1.0
Animal Husbandry	3	0	0.0	3	1.0
Animal Nutritional Physiological Phenomena	6	0	0.0	6	1.0
Animal Population Groups	11	2	0.18181818181818185	9	0.8181818181818182
Animal Testing Alternatives	1	0	0.0	1	1.0
Animal Welfare	5	1	0.2	4	0.8
Animals	11	0	0.0	11	1.0
Animals, Domestic	18	0	0.0	18	1.0
Animals, Genetically Modified	2	0	0.0	2	1.0
Animals, Laboratory	21	4	0.19047619047619047	17	0.8095238095238095
Animals, Wild	1	1	1.0	0	0.0
Animals, Zoo	2	1	0.5	1	0.5
Ankle	5	0	0.0	5	1.0
Ankle Injuries	4	0	0.0	4	1.0
Antarctic Regions	2	0	0.0	2	1.0
Anterior Eye Segment	1	0	0.0	1	1.0
Anthropology	21	0	0.0	21	1.0
Anthropology, Cultural	1	0	0.0	1	1.0
Anthropology, Physical	8	0	0.0	8	1.0
Anti-Allergic Agents	1	0	0.0	1	1.0
Anti-Bacterial Agents	24	0	0.0	24	1.0
Anti-HIV Agents	2	0	0.0	2	1.0
Anti-Infective Agents	8	0	0.0	8	1.0
Anti-Inflammatory Agents	3	0	0.0	3	1.0
Antibodies	1	0	0.0	1	1.0
Antibodies, Monoclonal	6	0	0.0	6	1.0
Anticarcinogenic Agents	1	0	0.0	1	1.0
Antigens	1	0	0.0	1	1.0
Antigens, Neoplasm	1	0	0.0	1	1.0
Antineoplastic Agents	17	0	0.0	17	1.0
Antineoplastic Agents, Hormonal	1	0	0.0	1	1.0
Antioxidants	2	0	0.0	2	1.0
Antisense Elements (Genetics)	5	0	0.0	5	1.0
Antisocial Personality Disorder	1	0	0.0	1	1.0
Antitubercular Agents	1	0	0.0	1	1.0
Antiviral Agents	4	0	0.0	4	1.0
Anxiety	3	0	0.0	3	1.0
Anxiety Disorders	3	0	0.0	3	1.0
Apoptosis	3	0	0.0	3	1.0
Appetite	1	0	0.0	1	1.0
Arachidonic Acids	1	0	0.0	1	1.0
Archaea	1	0	0.0	1	1.0
Architecture	1	0	0.0	1	1.0
Archives	1	0	0.0	1	1.0
Arctic Regions	2	0	0.0	2	1.0
Argentina	6	0	0.0	6	1.0
Arizona	1	0	0.0	1	1.0
Arm	4	1	0.25	3	0.75
Arm Injuries	2	1	0.5	1	0.5
Arrhythmias, Cardiac	7	0	0.0	7	1.0
Art Therapy	2	0	0.0	2	1.0
Arteries	2	0	0.0	2	1.0
Arteriosclerosis	15	1	0.06666666666666668	14	0.9333333333333333
Arthritis	45	1	0.022222222222222227	44	0.9777777777777777
Arthroplasty	2	0	0.0	2	1.0
Arthropod Vectors	1	0	0.0	1	1.0
Arthropods	2	0	0.0	2	1.0
Arthroscopy	3	0	0.0	3	1.0
Artificial Intelligence	4	0	0.0	4	1.0
Artificial Limbs	7	0	0.0	7	1.0
Artificial Organs	12	0	0.0	12	1.0
Asepsis	1	0	0.0	1	1.0
Asia	5	1	0.2	4	0.8
Asia, Southeastern	1	0	0.0	1	1.0
Asian Americans	1	0	0.0	1	1.0
Asian Continental Ancestry Group	1	0	0.0	1	1.0
Asthma	12	1	0.08333333333333333	11	0.9166666666666666
Ataxia	1	0	0.0	1	1.0
Athletic Injuries	18	2	0.1111111111111111	16	0.8888888888888888
Attention	1	0	0.0	1	1.0
Attention Deficit Disorder with Hyperactivity	2	0	0.0	2	1.0
Attitude to Death	2	0	0.0	2	1.0
Attitude to Health	1	0	0.0	1	1.0
Audiology	8	0	0.0	8	1.0
Audiovisual Aids	4	0	0.0	4	1.0
Australasia	1	0	0.0	1	1.0
Australia	24	4	0.16666666666666666	20	0.8333333333333334
Austria	4	0	0.0	4	1.0
Autacoids	2	0	0.0	2	1.0
Autistic Disorder	5	0	0.0	5	1.0
Autoantibodies	2	0	0.0	2	1.0
Autoimmune Diseases	2	0	0.0	2	1.0
Autoimmunity	2	0	0.0	2	1.0
Automation	2	1	0.5	1	0.5
Automation, Laboratory	2	0	0.0	2	1.0
Autonomic Agents	3	0	0.0	3	1.0
Autonomic Nervous System	8	0	0.0	8	1.0
Autonomic Nervous System Diseases	1	0	0.0	1	1.0
Autophagy	1	0	0.0	1	1.0
Aviation	3	0	0.0	3	1.0
Back Pain	1	0	0.0	1	1.0
Bacteria	2	0	0.0	2	1.0
Bacteria, Anaerobic	1	0	0.0	1	1.0
Bacterial Infections	11	0	0.0	11	1.0
Bacteriological Techniques	2	0	0.0	2	1.0
Bacteriology	28	2	0.07142857142857142	26	0.9285714285714286
Balneology	5	0	0.0	5	1.0
Baltimore	2	0	0.0	2	1.0
Bariatrics	1	0	0.0	1	1.0
Base Sequence	9	0	0.0	9	1.0
Battered Women	1	0	0.0	1	1.0
Beauty Culture	2	0	0.0	2	1.0
Behavior	50	2	0.04	48	0.96
Behavior Therapy	7	0	0.0	7	1.0
Behavior, Addictive	3	0	0.0	3	1.0
Behavior, Animal	9	0	0.0	9	1.0
Behavioral Medicine	11	0	0.0	11	1.0
Behavioral Research	2	0	0.0	2	1.0
Behavioral Sciences	13	0	0.0	13	1.0
Belgium	3	0	0.0	3	1.0
Benchmarking	1	0	0.0	1	1.0
Bibliographies as Topic	3	0	0.0	3	1.0
Biliary Tract	2	1	0.5	1	0.5
Biliary Tract Diseases	5	0	0.0	5	1.0
Biliary Tract Surgical Procedures	3	0	0.0	3	1.0
Biochemical Phenomena	14	0	0.0	14	1.0
Biochemistry	245	16	0.0653061224489796	229	0.9346938775510204
Biocompatible Materials	32	0	0.0	32	1.0
Biodegradation, Environmental	2	0	0.0	2	1.0
Biodiversity	1	0	0.0	1	1.0
Bioengineering	5	0	0.0	5	1.0
Bioethical Issues	6	0	0.0	6	1.0
Bioethics	19	1	0.05263157894736842	18	0.9473684210526315
Biofeedback, Psychology	2	0	0.0	2	1.0
Biofilms	1	0	0.0	1	1.0
Biological Assay	2	0	0.0	2	1.0
Biological Clocks	4	0	0.0	4	1.0
Biological Evolution	21	0	0.0	21	1.0
Biological Factors	8	0	0.0	8	1.0
Biological Phenomena	7	0	0.0	7	1.0
Biological Products	20	1	0.05	19	0.95
Biological Psychiatry	2	0	0.0	2	1.0
Biological Science Disciplines	55	3	0.054545454545454536	52	0.9454545454545454
Biological Specimen Banks	1	0	0.0	1	1.0
Biological Therapy	1	0	0.0	1	1.0
Biological Transport	6	0	0.0	6	1.0
Biological Transport, Active	1	0	0.0	1	1.0
Biological Warfare	1	0	0.0	1	1.0
Biological Warfare Agents	1	0	0.0	1	1.0
Biology	274	9	0.032846715328467155	265	0.9671532846715328
Biomarkers	3	0	0.0	3	1.0
Biomarkers, Tumor	2	0	0.0	2	1.0
Biomechanical Phenomena	19	2	0.10526315789473684	17	0.8947368421052632
Biomedical Engineering	93	4	0.04301075268817205	89	0.956989247311828
Biomedical Research	20	2	0.1	18	0.9
Biomedical Technology	57	6	0.10526315789473684	51	0.8947368421052632
Biomedical and Dental Materials	2	0	0.0	2	1.0
Biometry	15	0	0.0	15	1.0
Biomimetic Materials	1	0	0.0	1	1.0
Biomimetics	2	0	0.0	2	1.0
Bionics	3	0	0.0	3	1.0
Biopharmaceutics	10	1	0.1	9	0.9
Biophysical Phenomena	3	0	0.0	3	1.0
Biophysics	67	4	0.059701492537313425	63	0.9402985074626866
Biopolymers	2	0	0.0	2	1.0
Bioreactors	1	0	0.0	1	1.0
Biosensing Techniques	4	0	0.0	4	1.0
Biotechnology	67	3	0.04477611940298507	64	0.9552238805970149
Bioterrorism	1	0	0.0	1	1.0
Bipolar Disorder	1	0	0.0	1	1.0
Bird Diseases	2	1	0.5	1	0.5
Birds	1	1	1.0	0	0.0
Birth Rate	2	1	0.5	1	0.5
Bisexuality	1	0	0.0	1	1.0
Blindness	4	0	0.0	4	1.0
Blood	11	1	0.09090909090909093	10	0.9090909090909091
Blood Cells	3	0	0.0	3	1.0
Blood Circulation	3	0	0.0	3	1.0
Blood Coagulation	2	0	0.0	2	1.0
Blood Component Removal	3	0	0.0	3	1.0
Blood Component Transfusion	2	0	0.0	2	1.0
Blood Glucose Self-Monitoring	1	0	0.0	1	1.0
Blood Group Antigens	3	1	0.3333333333333333	2	0.6666666666666666
Blood Platelets	1	0	0.0	1	1.0
Blood Pressure	3	0	0.0	3	1.0
Blood Pressure Determination	1	0	0.0	1	1.0
Blood Pressure Monitoring, Ambulatory	1	0	0.0	1	1.0
Blood Pressure Monitors	1	0	0.0	1	1.0
Blood Substitutes	1	0	0.0	1	1.0
Blood Transfusion	26	1	0.038461538461538464	25	0.9615384615384616
Blood Transfusion, Autologous	1	0	0.0	1	1.0
Blood Vessels	12	0	0.0	12	1.0
Body Constitution	1	0	0.0	1	1.0
Body Fluids	1	0	0.0	1	1.0
Body Image	1	0	0.0	1	1.0
Body Temperature	1	0	0.0	1	1.0
Body Temperature Regulation	1	0	0.0	1	1.0
Body Weight	1	0	0.0	1	1.0
Bone Density	1	0	0.0	1	1.0
Bone Diseases	10	2	0.2	8	0.8
Bone Diseases, Metabolic	6	1	0.16666666666666666	5	0.8333333333333334
Bone Marrow Transplantation	3	0	0.0	3	1.0
Bone and Bones	9	1	0.1111111111111111	8	0.8888888888888888
Botany	16	1	0.0625	15	0.9375
Brachytherapy	1	0	0.0	1	1.0
Brain	42	2	0.047619047619047616	40	0.9523809523809523
Brain Chemistry	1	0	0.0	1	1.0
Brain Diseases	4	0	0.0	4	1.0
Brain Diseases, Metabolic	1	0	0.0	1	1.0
Brain Injuries	6	0	0.0	6	1.0
Brain Mapping	2	0	0.0	2	1.0
Brain Neoplasms	3	0	0.0	3	1.0
Brazil	9	2	0.2222222222222222	7	0.7777777777777778
Breast	2	0	0.0	2	1.0
Breast Diseases	5	0	0.0	5	1.0
Breast Feeding	4	0	0.0	4	1.0
Breast Neoplasms	7	0	0.0	7	1.0
Breeding	5	0	0.0	5	1.0
British Columbia	1	0	0.0	1	1.0
Bronchi	4	0	0.0	4	1.0
Bronchial Diseases	2	0	0.0	2	1.0
Burns	6	1	0.16666666666666666	5	0.8333333333333334
Cachexia	1	0	0.0	1	1.0
Caenorhabditis elegans	1	0	0.0	1	1.0
Calcification, Physiologic	2	0	0.0	2	1.0
Calcium	4	0	0.0	4	1.0
Calcium Channels	1	0	0.0	1	1.0
California	19	0	0.0	19	1.0
Canada	47	4	0.0851063829787234	43	0.9148936170212766
Cancer Care Facilities	1	0	0.0	1	1.0
Cannabinoids	1	0	0.0	1	1.0
Cannabis	1	0	0.0	1	1.0
Capitation Fee	2	0	0.0	2	1.0
Capsules	1	0	0.0	1	1.0
Carbohydrates	6	1	0.16666666666666666	5	0.8333333333333334
Carcinoembryonic Antigen	2	0	0.0	2	1.0
Carcinogenicity Tests	1	1	1.0	0	0.0
Carcinogens	14	1	0.07142857142857142	13	0.9285714285714286
Carcinogens, Environmental	2	1	0.5	1	0.5
Cardiac Catheterization	2	0	0.0	2	1.0
Cardiac Electrophysiology	1	0	0.0	1	1.0
Cardiac Output, Low	1	0	0.0	1	1.0
Cardiac Pacing, Artificial	3	0	0.0	3	1.0
Cardiac Rehabilitation	2	0	0.0	2	1.0
Cardiac Surgical Procedures	14	3	0.21428571428571427	11	0.7857142857142857
Cardiology	78	8	0.10256410256410256	70	0.8974358974358975
Cardiomyopathies	1	1	1.0	0	0.0
Cardiovascular Abnormalities	1	0	0.0	1	1.0
Cardiovascular Agents	16	0	0.0	16	1.0
Cardiovascular Diseases	132	9	0.06818181818181818	123	0.9318181818181818
Cardiovascular Physiological Phenomena	1	0	0.0	1	1.0
Cardiovascular Surgical Procedures	21	2	0.09523809523809523	19	0.9047619047619048
Cardiovascular System	29	2	0.06896551724137931	27	0.9310344827586207
Cariostatic Agents	1	0	0.0	1	1.0
Cartilage	1	0	0.0	1	1.0
Case Management	7	0	0.0	7	1.0
Cat Diseases	1	0	0.0	1	1.0
Cataloging	1	0	0.0	1	1.0
Catalogs, Library	2	0	0.0	2	1.0
Cataract Extraction	1	0	0.0	1	1.0
Catheter Ablation	1	0	0.0	1	1.0
Catheterization, Central Venous	1	0	0.0	1	1.0
Catheterization, Peripheral	1	0	0.0	1	1.0
Catholicism	7	0	0.0	7	1.0
Cell Adhesion	3	0	0.0	3	1.0
Cell Adhesion Molecules	1	0	0.0	1	1.0
Cell Biology	100	6	0.06	94	0.94
Cell Communication	9	0	0.0	9	1.0
Cell Culture Techniques	1	0	0.0	1	1.0
Cell Cycle	3	0	0.0	3	1.0
Cell Death	3	0	0.0	3	1.0
Cell Differentiation	11	1	0.09090909090909093	10	0.9090909090909091
Cell Division	6	0	0.0	6	1.0
Cell Membrane	8	1	0.125	7	0.875
Cell Movement	5	0	0.0	5	1.0
Cell Nucleus	3	0	0.0	3	1.0
Cell Physiological Phenomena	29	0	0.0	29	1.0
Cell Separation	2	0	0.0	2	1.0
Cell Survival	1	0	0.0	1	1.0
Cell Transformation, Neoplastic	6	0	0.0	6	1.0
Cell Transplantation	4	0	0.0	4	1.0
Cells	62	2	0.03225806451612903	60	0.967741935483871
Cells, Cultured	1	0	0.0	1	1.0
Cellular Senescence	4	0	0.0	4	1.0
Cellular Structures	2	0	0.0	2	1.0
Central America	1	0	0.0	1	1.0
Central Nervous System	7	0	0.0	7	1.0
Central Nervous System Agents	6	0	0.0	6	1.0
Central Nervous System Diseases	15	0	0.0	15	1.0
Cerebellum	1	0	0.0	1	1.0
Cerebral Cortex	1	0	0.0	1	1.0
Cerebral Palsy	7	0	0.0	7	1.0
Cerebrospinal Fluid	1	0	0.0	1	1.0
Cerebrovascular Circulation	3	0	0.0	3	1.0
Cerebrovascular Disorders	9	0	0.0	9	1.0
Chaplaincy Service, Hospital	1	0	0.0	1	1.0
Character	1	0	0.0	1	1.0
Charities	2	0	0.0	2	1.0
Chemical Engineering	3	2	0.6666666666666666	1	0.3333333333333333
Chemical Industry	8	0	0.0	8	1.0
Chemical Phenomena	9	1	0.1111111111111111	8	0.8888888888888888
Chemical Warfare	2	0	0.0	2	1.0
Chemistry	81	2	0.02469135802469136	79	0.9753086419753086
Chemistry Techniques, Analytical	19	1	0.05263157894736842	18	0.9473684210526315
Chemistry, Agricultural	4	0	0.0	4	1.0
Chemistry, Bioinorganic	1	0	0.0	1	1.0
Chemistry, Clinical	19	1	0.05263157894736842	18	0.9473684210526315
Chemistry, Inorganic	2	0	0.0	2	1.0
Chemistry, Organic	15	1	0.06666666666666668	14	0.9333333333333333
Chemistry, Pharmaceutical	34	2	0.05882352941176471	32	0.9411764705882353
Chemistry, Physical	13	0	0.0	13	1.0
Chemoreceptor Cells	1	0	0.0	1	1.0
Chemotherapy, Adjuvant	1	0	0.0	1	1.0
Chicago	5	0	0.0	5	1.0
Child	117	3	0.02564102564102564	114	0.9743589743589743
Child Abuse	3	0	0.0	3	1.0
Child Abuse, Sexual	2	0	0.0	2	1.0
Child Advocacy	1	0	0.0	1	1.0
Child Behavior	4	1	0.25	3	0.75
Child Behavior Disorders	3	0	0.0	3	1.0
Child Care	12	0	0.0	12	1.0
Child Development	18	1	0.05555555555555555	17	0.9444444444444444
Child Guidance	2	0	0.0	2	1.0
Child Health	2	1	0.5	1	0.5
Child Health Services	5	0	0.0	5	1.0
Child Nutrition Disorders	1	0	0.0	1	1.0
Child Nutritional Physiological Phenomena	4	0	0.0	4	1.0
Child Psychiatry	24	1	0.04166666666666666	23	0.9583333333333334
Child Welfare	17	0	0.0	17	1.0
Child, Gifted	1	0	0.0	1	1.0
Child, Hospitalized	4	1	0.25	3	0.75
Child, Institutionalized	1	0	0.0	1	1.0
Child, Preschool	1	0	0.0	1	1.0
Chile	7	1	0.14285714285714285	6	0.8571428571428571
Chimerism	1	0	0.0	1	1.0
China	19	8	0.42105263157894735	11	0.5789473684210527
Chiropractic	4	0	0.0	4	1.0
Cholelithiasis	2	0	0.0	2	1.0
Christianity	2	0	0.0	2	1.0
Chromatin	1	0	0.0	1	1.0
Chromatography	13	1	0.07692307692307693	12	0.9230769230769231
Chromosome Aberrations	3	0	0.0	3	1.0
Chromosome Mapping	6	0	0.0	6	1.0
Chromosomes	2	0	0.0	2	1.0
Chronic Disease	10	1	0.1	9	0.9
Cineangiography	2	0	0.0	2	1.0
Cineradiography	2	0	0.0	2	1.0
Circadian Rhythm	4	0	0.0	4	1.0
Civil Defense	2	0	0.0	2	1.0
Civil Rights	1	1	1.0	0	0.0
Civilization	2	0	0.0	2	1.0
Cleft Lip	2	0	0.0	2	1.0
Cleft Palate	2	0	0.0	2	1.0
Climacteric	1	0	0.0	1	1.0
Climate	6	1	0.16666666666666666	5	0.8333333333333334
Climatotherapy	1	0	0.0	1	1.0
Clinical Competence	2	0	0.0	2	1.0
Clinical Laboratory Techniques	46	6	0.13043478260869565	40	0.8695652173913043
Clinical Medicine	70	8	0.11428571428571427	62	0.8857142857142857
Clinical Trial Protocols as Topic	1	0	0.0	1	1.0
Clinical Trials as Topic	16	0	0.0	16	1.0
Clone Cells	1	0	0.0	1	1.0
Cloning, Molecular	4	0	0.0	4	1.0
Cloning, Organism	2	0	0.0	2	1.0
Clustered Regularly Interspaced Short Palindromic Repeats	1	0	0.0	1	1.0
Cochlea	1	0	0.0	1	1.0
Cochlear Implantation	1	0	0.0	1	1.0
Cochlear Implants	1	0	0.0	1	1.0
Cognition	21	0	0.0	21	1.0
Cognition Disorders	4	0	0.0	4	1.0
Cognitive Behavioral Therapy	2	0	0.0	2	1.0
Cognitive Neuroscience	1	0	0.0	1	1.0
Cognitive Science	7	0	0.0	7	1.0
Cold Climate	6	0	0.0	6	1.0
Cold Temperature	2	1	0.5	1	0.5
Colitis, Ulcerative	1	0	0.0	1	1.0
Collagen	4	0	0.0	4	1.0
Collagen Diseases	2	0	0.0	2	1.0
Colloids	5	0	0.0	5	1.0
Colombia	5	1	0.2	4	0.8
Colonic Diseases	3	0	0.0	3	1.0
Colorado	1	0	0.0	1	1.0
Colorectal Neoplasms	1	0	0.0	1	1.0
Colorectal Surgery	9	0	0.0	9	1.0
Colostomy	2	0	0.0	2	1.0
Colposcopy	1	0	0.0	1	1.0
Combinatorial Chemistry Techniques	1	0	0.0	1	1.0
Commerce	3	0	0.0	3	1.0
Communicable Disease Control	20	2	0.1	18	0.9
Communicable Diseases	102	6	0.05882352941176471	96	0.9411764705882353
Communicable Diseases, Emerging	5	0	0.0	5	1.0
Communication	12	0	0.0	12	1.0
Communication Disorders	4	0	0.0	4	1.0
Community Dentistry	2	1	0.5	1	0.5
Community Health Nursing	10	0	0.0	10	1.0
Community Health Services	31	1	0.03225806451612903	30	0.967741935483871
Community Medicine	4	1	0.25	3	0.75
Community Mental Health Services	9	1	0.1111111111111111	8	0.8888888888888888
Community Networks	1	0	0.0	1	1.0
Community Participation	3	0	0.0	3	1.0
Community Pharmacy Services	1	0	0.0	1	1.0
Community Psychiatry	6	0	0.0	6	1.0
Community-Institutional Relations	1	0	0.0	1	1.0
Comparative Effectiveness Research	1	0	0.0	1	1.0
Complement System Proteins	2	0	0.0	2	1.0
Complementary Therapies	22	1	0.045454545454545456	21	0.9545454545454546
Composite Resins	1	0	0.0	1	1.0
Comprehensive Health Care	3	0	0.0	3	1.0
Compulsive Behavior	1	0	0.0	1	1.0
Computational Biology	30	2	0.06666666666666668	28	0.9333333333333333
Computer Communication Networks	8	0	0.0	8	1.0
Computer Graphics	4	0	0.0	4	1.0
Computer Simulation	7	0	0.0	7	1.0
Computer Systems	2	0	0.0	2	1.0
Computer-Aided Design	3	0	0.0	3	1.0
Computer-Assisted Instruction	3	0	0.0	3	1.0
Computers	22	1	0.045454545454545456	21	0.9545454545454546
Computing Methodologies	2	0	0.0	2	1.0
Conditioning, Psychological	6	0	0.0	6	1.0
Congenital Abnormalities	8	0	0.0	8	1.0
Connecticut	4	0	0.0	4	1.0
Connective Tissue	5	0	0.0	5	1.0
Connective Tissue Diseases	4	1	0.25	3	0.75
Consciousness	1	0	0.0	1	1.0
Conservation of Natural Resources	4	0	0.0	4	1.0
Consultants	1	0	0.0	1	1.0
Consumer Advocacy	2	0	0.0	2	1.0
Consumer Behavior	2	0	0.0	2	1.0
Consumer Organizations	1	0	0.0	1	1.0
Consumer Product Safety	3	0	0.0	3	1.0
Contact Lenses	5	0	0.0	5	1.0
Contact Lenses, Hydrophilic	3	0	0.0	3	1.0
Containment of Biohazards	2	0	0.0	2	1.0
Continuity of Patient Care	5	0	0.0	5	1.0
Contraception	11	0	0.0	11	1.0
Contraceptive Agents	1	0	0.0	1	1.0
Contraceptives, Oral	1	0	0.0	1	1.0
Contrast Media	1	0	0.0	1	1.0
Convalescence	1	0	0.0	1	1.0
Convulsive Therapy	1	0	0.0	1	1.0
Cordotomy	1	0	0.0	1	1.0
Cornea	4	0	0.0	4	1.0
Coronary Angiography	1	0	0.0	1	1.0
Coronary Disease	2	0	0.0	2	1.0
Correction of Hearing Impairment	1	0	0.0	1	1.0
Cosmetic Techniques	2	1	0.5	1	0.5
Cosmetics	7	0	0.0	7	1.0
Cosmic Radiation	1	0	0.0	1	1.0
Cost Control	6	0	0.0	6	1.0
Cost-Benefit Analysis	2	0	0.0	2	1.0
Costs and Cost Analysis	6	0	0.0	6	1.0
Counseling	5	0	0.0	5	1.0
Craniocerebral Trauma	2	0	0.0	2	1.0
Craniofacial Abnormalities	1	0	0.0	1	1.0
Craniomandibular Disorders	3	0	0.0	3	1.0
Criminal Psychology	6	0	0.0	6	1.0
Criminology	12	0	0.0	12	1.0
Crisis Intervention	2	0	0.0	2	1.0
Critical Care	58	5	0.08620689655172414	53	0.9137931034482759
Critical Care Nursing	1	0	0.0	1	1.0
Critical Illness	6	0	0.0	6	1.0
Critical Pathways	1	0	0.0	1	1.0
Croatia	1	0	0.0	1	1.0
Crohn Disease	1	0	0.0	1	1.0
Crops, Agricultural	3	0	0.0	3	1.0
Cross Infection	8	0	0.0	8	1.0
Cross-Cultural Comparison	7	0	0.0	7	1.0
Crustacea	1	0	0.0	1	1.0
Cryopreservation	1	1	1.0	0	0.0
Cryosurgery	1	0	0.0	1	1.0
Crystallization	6	0	0.0	6	1.0
Crystallography	13	0	0.0	13	1.0
Cuba	2	1	0.5	1	0.5
Culicidae	3	0	0.0	3	1.0
Cultural Characteristics	1	0	0.0	1	1.0
Cultural Diversity	2	0	0.0	2	1.0
Culture	2	0	0.0	2	1.0
