NlmUniqueID	Title	MedlineTA	Country	Place	Publisher	PublicationFirstYear	PublicationEndYear	Frequency	ISSN-Electronic	ISSN-Print	ISSN-Linking	Language	TitleContinuationYN	IndexingStartDate	CurrentlyIndexedYN	IndexOnlineYN	IndexingSubset	IndexingSelectedURL	ReportedMedlineYN	ISSN	sherpa_has_oa_path	embargo	embargo_published_version	embargo_accepted_version	sherpa_oa_green	additional_oa_fee	title_sherpa	issne_sherpa	issnp_sherpa	url	publisher_id	publisher_country	publisher_type	publisher_url	publisher_name	sherpa_uri	sherpa_created	sherpa_last_modified	sherpa_id	DOAJ_pissn	ISSN_old	DOAJ_title	DOAJ_eissn	DOAJ_Seal	DOAJ_date	DOAJ_year	DOAJ_license	DOAJ_author_holds_copyright_without_restrictions	DOAJ_last_updated	DOAJ_APC	DOAJ	year_founded	year_reverse_flipped	journal_location	society_affiliation	other_sci_affiliation	flipped_journal_name	post_flip_publisher	flipped_access_model	apc_pre	apc_post	apc_now	discipline	flipped_oa	flipped_born_oa	flipped_embargo	Reverse_Flip	not_sherpa_and_not_doaj_or_not_oa	first_year	last_year	PMIDs	PMIDs_2021	PMIDs_2022	DOIs	unconquerables	lenght_years_pubmed	DOIs_ratio
1246675	Acta neurobiologiae experimentalis	Acta Neurobiol Exp (Wars)	Poland	Warsaw	Nencki Institute of Experimental Biology	1970		Quarterly	1689-0035	0065-1400	0065-1400	eng	N	1970.0	Y	Y	IM	http://www.ane.pl/archive.php	Y	1689-0035																																																yes	1970.0	2022.0	2142.0	36.0	38.0	106.0	1.0	52.0	0.04948646125116713
100962752	Acta neurochirurgica. Supplement	Acta Neurochir Suppl	Austria	Wien ;	Springer-Verlag	1994				0065-1419	0065-1419	eng	Y	1994.0	Y	N	IM		Y	0065-1419																																																yes	1963.0	2022.0	3081.0	112.0	39.0	3028.0	1.0	59.0	0.9827977929243752
9815355	Acta neurologica Taiwanica	Acta Neurol Taiwan	China (Republic : 1949- )	Taipei	Color Design	1996		Quarterly		1028-768X	1028-768X	eng	N	2004.0	Y	N	IM		Y	1028-768X																																																yes	2004.0	2023.0	667.0	24.0	32.0	0.0	1.0	19.0	0.0
8610218	Acta odontológica latinoamericana : AOL	Acta Odontol Latinoam	Argentina	Buenos Aires	Acta Odontologica Latinoamericana	1984		Two no. a year	1852-4834	0326-4815	0326-4815	eng	N	1984.0	Y	Y	D	http://www.scielo.org.ar/scielo.php?script=sci_issues&pid=1852-4834&lng=en&nrm=iso	Y	1852-4834																																																yes	1984.0	2022.0	652.0	38.0	20.0	101.0	1.0	38.0	0.1549079754601227
2985165R	Acta orthopaedica Belgica	Acta Orthop Belg	Belgium	Bruxelles	Acta Medica Belgica	1946		Five no. a year,		0001-6462	0001-6462	fre	N	1965.0	Y	Y	IM	http://www.actaorthopaedica.be	Y	0001-6462																																																yes	1946.0	2022.0	5944.0	104.0	54.0	82.0	1.0	76.0	0.01379542395693136
9424806	Acta orthopaedica et traumatologica turcica	Acta Orthop Traumatol Turc	Turkey	[Ankara, Turkey]	Turkish Association of Orthopaedics and Traumatology with publishing services by AVES	1962		Bimonthly,	2589-1294	1017-995X	1017-995X	eng	N	2002.0	Y	Y	IM	http://www.aott.org.tr/index.php/aott/issue/archive	Y	2589-1294																																																yes	2002.0	2022.0	1916.0	104.0	65.0	1395.0	1.0	20.0	0.7280793319415448
101190312	Acta ortopédica mexicana	Acta Ortop Mex	Mexico	México, D.F.	Sociedad Mexicana de Ortopedia	2002		Bimonthly		2306-4102	2306-4102	spa	N	2007.0	Y	N	IM		Y	2306-4102																																																yes	2007.0	2022.0	1061.0	94.0	11.0	0.0	1.0	15.0	0.0
0370365	Acta psychiatrica Scandinavica. Supplementum	Acta Psychiatr Scand Suppl	Denmark	Malden, MA	Wiley-Blackwell	1961		Irregular	1600-5473	0065-1591	0065-1591	eng	N	1965.0	Y	Y	IM	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1600-0447	Y	1600-5473																																																yes	1959.0	2015.0	1664.0	0.0	0.0	1292.0	1.0	56.0	0.7764423076923077
101295615	Acta scientiarum polonorum. Technologia alimentaria	Acta Sci Pol Technol Aliment	Poland	Poznań	Wydawnictwo Uniwersytetu Przyrodniczego w Poznaniu	2002		Four issues a year,	1898-9594	1644-0730	1644-0730	eng	N	2011.0	Y	Y	IM	http://www.food.actapol.net/en/main	Y	1898-9594																																																yes	2011.0	2022.0	408.0	41.0	10.0	335.0	1.0	11.0	0.821078431372549
100886502	Actas españolas de psiquiatría	Actas Esp Psiquiatr	Spain	Zaragoza, Spain	Fundación Juan José López-Ibor	1999		Bimonthly	1578-2735	1139-9287	1139-9287	spa	Y	1999.0	Y	Y	IM	http://actaspsiquiatria.es/index.php	Y	1578-2735																																																yes	1999.0	2022.0	1200.0	36.0	32.0	1.0	1.0	23.0	0.0008333333333333334
101553725	Acute medicine	Acute Med	England	London	Rila	2005		Three issues yearly	1747-4892	1747-4884	1747-4884	eng	N	2011.0	Y	Y	IM	http://acutemedjournal.co.uk/journal/	Y	1747-4892																																																yes	2005.0	2022.0	732.0	51.0	33.0	45.0	1.0	17.0	0.06147540983606557
9605506	Adicciones	Adicciones	Spain	Palma de Mallorca	Socidrogalcohol	1989		Quarterly		0214-4840	0214-4840	eng	N	2007.0	Y	Y	IM	http://www.adicciones.es/index.php/adicciones/issue/archive	Y	0214-4840																																																yes	2007.0	2022.0	630.0	66.0	50.0	298.0	1.0	15.0	0.473015873015873
0407712	Advances in anatomy, embryology, and cell biology	Adv Anat Embryol Cell Biol	Germany	Berlin	Springer Verlag	1973		Irregular		0301-5556	0301-5556	eng	N	1965.0	Y	Y	IM	https://link.springer.com/bookseries/102	Y	0301-5556																																																yes	1973.0	2021.0	345.0	18.0	0.0	249.0	1.0	48.0	0.7217391304347827
9435676	Advances in anatomic pathology	Adv Anat Pathol	United States	Hagerstown, MD	Lippincott Williams & Wilkins	1994		Bimonthly	1533-4031	1072-4109	1072-4109	eng	N	1998.0	Y	Y	IM	https://ovidsp.ovid.com/ovidweb.cgi?T=JS&NEWS=n&CSC=Y&PAGE=toc&D=yrovft&AN=00125480-000000000-00000	Y	1533-4031																																																yes	1997.0	2022.0	945.0	35.0	62.0	929.0	1.0	25.0	0.9830687830687831
0370413	Advances in applied microbiology	Adv Appl Microbiol	United States	San Diego, Calif.	Academic Press	1959		Annual		0065-2164	0065-2164	eng	N	1965.0	Y	Y	IM	http://www.sciencedirect.com/science/bookseries/00652164	Y	0065-2164																																																yes	1959.0	2022.0	720.0	15.0	11.0	696.0	1.0	63.0	0.9666666666666667
8307733	Advances in biochemical engineering/biotechnology	Adv Biochem Eng Biotechnol	Germany	Heidelberg	Springer Verlag	1983		Irregular	1616-8542	0724-6145	0724-6145	eng	N	1983.0	Y	N	IM		Y	1616-8542																																																yes	1983.0	2022.0	1157.0	40.0	54.0	1128.0	1.0	39.0	0.9749351771823682
0370416	Advances in cancer research	Adv Cancer Res	United States	Amsterdam	Elsevier	1953		Annual	2162-5557	0065-230X	0065-230X	eng	N	1965.0	Y	Y	IM	https://www.sciencedirect.com/bookseries/advances-in-cancer-research	Y	2162-5557																																																yes	1953.0	2022.0	1161.0	40.0	42.0	1140.0	1.0	69.0	0.9819121447028424
0240537	Advances in carbohydrate chemistry and biochemistry	Adv Carbohydr Chem Biochem	Netherlands	Amsterdam	Elsevier	1969		Annual	2162-5530	0065-2318	0065-2318	eng	N	1969.0	Y	Y	IM	https://www.sciencedirect.com/bookseries/advances-in-carbohydrate-chemistry-and-biochemistry	Y	2162-5530																																																yes	1965.0	2022.0	277.0	8.0	12.0	242.0	1.0	57.0	0.8736462093862816
0270063	Advances in cardiology	Adv Cardiol	Switzerland	Basel ;	Karger	1970		Irregular	1662-2839	0065-2326	0065-2326	eng	N	1970.0	Y	Y	IM	http://www.karger.com/adcar	Y	1662-2839																																																yes	1970.0	2012.0	1047.0	0.0	0.0	1030.0	1.0	42.0	0.9837631327602674
0370417	Advances in child development and behavior	Adv Child Dev Behav	United States	New York Ny	Academic Press	1963		Irregular		0065-2407	0065-2407	eng	N	1970.0	Y	Y	IM	http://www.sciencedirect.com/science/bookseries/00652407	Y	0065-2407																																																yes	1970.0	2022.0	517.0	26.0	22.0	503.0	1.0	52.0	0.9729206963249516
2985173R	Advances in clinical chemistry	Adv Clin Chem	United States	New York, Ny	Academic Press	1958		Irregular	2162-9471	0065-2423	0065-2423	eng	N	1965.0	Y	Y	IM	http://www.sciencedirect.com/science/bookseries/00652423	Y	2162-9471																																																yes	1958.0	2022.0	743.0	42.0	42.0	690.0	1.0	64.0	0.9286675639300135
8802131	Advances in dental research	Adv Dent Res	United States	Thousand Oaks, California	Sage	1987		Irregular	1544-0737	0895-9374	0895-9374	eng	N	1987.0	Y	Y	D	https://journals.sagepub.com/home/adr	Y	1544-0737																																																yes	1987.0	2019.0	803.0	0.0	0.0	775.0	1.0	32.0	0.9651307596513076
101285075	Advanced emergency nursing journal	Adv Emerg Nurs J	United States	Philadelphia, Pa.	Lippincott Williams & Wilkins	2006		Quarterly	1931-4493	1931-4485	1931-4485	eng	N	2009.0	Y	Y	IM	http://gateway.ovid.com/ovidweb.cgi?T=JS&MODE=ovid&NEWS=n&PAGE=toc&D=ovft&AN=01261775-000000000-00000	Y	1931-4493																																																yes	2009.0	2022.0	558.0	51.0	52.0	558.0	1.0	13.0	1.0
0121103	Advances in experimental medicine and biology	Adv Exp Med Biol	United States	New York	Kluwer Academic/Plenum Publishers	1967		Irregular	2214-8019	0065-2598	0065-2598	eng	N	1971.0	Y	N	IM		Y	2214-8019																																																yes	1971.0	2023.0	40678.0	1333.0	589.0	38221.0	1.0	52.0	0.9395988003343331
9001271	Advances in food and nutrition research	Adv Food Nutr Res	United States	San Diego	Academic Press	1989		Annual		1043-4526	1043-4526	eng	N	1989.0	Y	Y	IM	http://www.sciencedirect.com/science/bookseries/10434526	Y	1043-4526																																																yes	1989.0	2022.0	557.0	39.0	35.0	543.0	1.0	33.0	0.9748653500897666
0370421	Advances in genetics	Adv Genet	United States	New York	Academic Press	1947		Annual		0065-2660	0065-2660	eng	N	1965.0	Y	Y	IM	http://www.sciencedirect.com/science/bookseries/00652660	Y	0065-2660																																																yes	1947.0	2022.0	739.0	15.0	2.0	681.0	1.0	75.0	0.9215155615696887
100971443	Advances in gerontology = Uspekhi gerontologii	Adv Gerontol	Russia (Federation)	Sankt-Peterburg	Ėskulap	19uu				1561-9125	1561-9125	eng	N	2001.0	Y	N	IM		Y	1561-9125																																																yes	2001.0	2022.0	1996.0	120.0	65.0	4.0	1.0	21.0	0.002004008016032064
101090746	Advances in health care management	Adv Health Care Manag	Netherlands	Bingley, UK	Emerald	2000		Annual		1474-8231	1474-8231	eng	N	2011.0	Y	N	IM		Y	1474-8231																																																yes	2011.0	2022.0	127.0	10.0	9.0	118.0	1.0	11.0	0.9291338582677166
0370425	Advances in immunology	Adv Immunol	United States	New York, NY	Academic Press	1961		Annual	1557-8445	0065-2776	0065-2776	eng	N	1966.0	Y	Y	IM	https://www.sciencedirect.com/bookseries/advances-in-immunology	Y	1557-8445																																																yes	1964.0	2022.0	896.0	12.0	11.0	864.0	1.0	58.0	0.9642857142857143
9918523075306676	Advances in kidney disease and health	Adv Kidney Dis Health	United States	[New York]	Elsevier Inc.	2023		Bimonthly	2949-8139	2949-8147	2949-8139	eng	Y	2023.0	Y	Y	IM	https://www.sciencedirect.com/journal/advances-in-kidney-disease-and-health	Y	2949-8139																																																yes				0.0	0.0		1.0		
100960029	Advances in life course research	Adv Life Course Res	Netherlands	Amsterdam	Elsevier	2000		Quarterly,	1879-6974	1569-4909	1569-4909	eng	N	2013.0	Y	Y	IM	http://www.sciencedirect.com/science/journal/10402608	Y	1879-6974																																																yes	2009.0	2022.0	93.0	3.0	4.0	93.0	1.0	13.0	1.0
0370431	Advances in marine biology	Adv Mar Biol	United States	New York Ny	Academic Press	1963		Annual	2162-5875	0065-2881	0065-2881	eng	N	2002.0	Y	Y	IM	http://www.sciencedirect.com/science/bookseries/00652881	Y	2162-5875																																																yes	2002.0	2022.0	246.0	11.0	7.0	245.0	1.0	20.0	0.9959349593495935
0117147	Advances in microbial physiology	Adv Microb Physiol	England	London, New York	Academic Press.	1967		Annual	2162-5468	0065-2911	0065-2911	eng	N	1971.0	Y	Y	IM	http://www.sciencedirect.com/science/journal/00652911	Y	2162-5468																																																yes	1971.0	2022.0	386.0	11.0	11.0	378.0	1.0	51.0	0.9792746113989638
9813115	Advances in mind-body medicine	Adv Mind Body Med	United States	Aliso Viejo, CA	InnoVision Communications	1998		Quarterly	1532-1843	1470-3556	1470-3556	eng	N	1999.0	Y	N	IM		Y	1532-1843																																																yes	1999.0	2022.0	419.0	16.0	12.0	84.0	1.0	23.0	0.20047732696897375
101571545	Advances in neurobiology	Adv Neurobiol	United States	New York	Springer	2011				2190-5215		eng	N	2014.0	Y	N	IM		Y	2190-5215																																																yes	2011.0	2023.0	347.0	14.0	24.0	346.0	1.0	12.0	0.9971181556195965
0242534	Advances in oto-rhino-laryngology	Adv Otorhinolaryngol	Switzerland	Basel	Karger	1969		Irregular	1662-2847	0065-3071	0065-3071	eng	N	1970.0	Y	Y	IM	http://www.karger.com/adorl	Y	1662-2847																																																yes	1970.0	2020.0	1663.0	0.0	0.0	1554.0	1.0	50.0	0.9344558027660854
0370435	Advances in parasitology	Adv Parasitol	England	London	Academic Press	1963		Annual	2163-6079	0065-308X	0065-308X	eng	N	1965.0	Y	Y	IM	http://www.sciencedirect.com/science/journal/0065308X	Y	2163-6079																																																yes	1963.0	2022.0	775.0	20.0	16.0	766.0	1.0	59.0	0.9883870967741936
9015397	Advances in pharmacology (San Diego, Calif.)	Adv Pharmacol	United States	New York Ny	Academic Press	1990		Irregular	1557-8925	1054-3589	1054-3589	eng	N	1990.0	Y	Y	IM	http://www.sciencedirect.com/science/bookseries/10543589	Y	1557-8925																																																yes	1990.0	2022.0	1236.0	38.0	36.0	1213.0	1.0	32.0	0.9813915857605178
101497281	Advances in protein chemistry and structural biology	Adv Protein Chem Struct Biol	Netherlands	Amsterdam	Elsevier	2008		Irregular	1876-1631	1876-1623	1876-1623	eng	Y	2008.0	Y	Y	IM	http://www.sciencedirect.com/science/bookseries/18761623	Y	1876-1631																																																yes	2008.0	2022.0	494.0	51.0	55.0	494.0	1.0	14.0	1.0
0101303	Advances in psychosomatic medicine	Adv Psychosom Med	Switzerland	Basel, New York	Karger.	1967		Irregular	1662-2855	0065-3268	0065-3268	eng	N	1967.0	Y	Y	IM	http://www.karger.com/BookSeries/Home/223875	Y	1662-2855																																																yes	1967.0	2015.0	339.0	0.0	0.0	279.0	1.0	48.0	0.8230088495575221
7501064	Advances and technical standards in neurosurgery	Adv Tech Stand Neurosurg	United States	New York	Springer-Verlag.	1974		Irregular,		0095-4829	0095-4829	eng	N	1984.0	Y	N	IM		Y	0095-4829																																																yes	1984.0	2022.0	239.0	0.0	30.0	234.0	1.0	38.0	0.9790794979079498
0370441	Advances in virus research	Adv Virus Res	United States	New York, NY	Academic Press	1953		Irregular	1557-8399	0065-3527	0065-3527	eng	N	1965.0	Y	Y	IM	http://www.sciencedirect.com/science/bookseries/00653527	Y	1557-8399																																																yes	1953.0	2022.0	890.0	15.0	7.0	877.0	1.0	69.0	0.9853932584269663
101654770	Aerospace medicine and human performance	Aerosp Med Hum Perform	United States	Alexandria, VA	Aerospace Medical Association	2015		Monthly	2375-6322	2375-6314	2375-6314	eng	Y	2015.0	Y	Y	IM	http://www.ingentaconnect.com/content/asma/amhp	Y	2375-6322																																																yes	2015.0	2022.0	1366.0	143.0	121.0	1258.0	1.0	7.0	0.9209370424597365
101149451	African health sciences	Afr Health Sci	Uganda	Kampala, Uganda	Faculty of Medicine, Makerere University	2001		Four no. a year,	1729-0503	1680-6905	1680-6905	eng	N	2001.0	Y	Y	IM	http://preview.ncbi.nlm.nih.gov/pmc/journals/378/	Y	1729-0503																																																yes	2001.0	2022.0	2534.0	243.0	181.0	2064.0	1.0	21.0	0.8145224940805051
9712263	African journal of reproductive health	Afr J Reprod Health	Nigeria	Benin City, Edo State, Nigeria	Women's Health and Action Research Centre	1997		Four no. a year,		1118-4841	1118-4841	eng	N	1997.0	Y	Y	IM	https://www.ajrh.info/index.php/ajrh	Y	1118-4841																																																yes	1997.0	2021.0	1180.0	24.0	0.0	326.0	1.0	24.0	0.27627118644067794
9426197	Aǧrı : Ağrı (Algoloji) Derneği'nin Yayın organıdır = The journal of the Turkish Society of Algology	Agri	Turkey	İstanbul	Türk Algoloji (Aǧrı) Derneği	1989		Four no. a year	2458-9446	1300-0012	1300-0012	eng	N	2004.0	Y	Y	IM	http://www.agridergisi.com/jvi.aspx?pdir=agri&plng=eng&list=pub	Y	2458-9446																																																yes	2004.0	2022.0	674.0	47.0	51.0	456.0	1.0	18.0	0.6765578635014837
9002873	AIDS education and prevention : official publication of the International Society for AIDS Education	AIDS Educ Prev	United States	[New York, NY	Guilford Publications	1989		Bimonthly	1943-2755	0899-9546	0899-9546	eng	N	1989.0	Y	Y	IM	http://guilfordjournals.com/loi/aeap	Y	1943-2755																																																yes	1989.0	2022.0	1583.0	38.0	37.0	1045.0	1.0	33.0	0.6601389766266582
101134876	AIDS reviews	AIDS Rev	Spain	Barcelona, Spain	Permanyer Publications	1999		Quarterly	1698-6997	1139-6121	1139-6121	eng	N	2002.0	Y	Y	IM	http://www.aidsreviews.com	Y	1698-6997																																																yes	2000.0	2022.0	557.0	21.0	23.0	113.0	1.0	22.0	0.20287253141831238
7708173	AJR. American journal of roentgenology	AJR Am J Roentgenol	United States	Leesburg, VA	American Roentgen Ray Society	1976		Monthly	1546-3141	0361-803X	0361-803X	eng	N	1976.0	Y	Y	IM	http://www.ajronline.org/loi/ajr	Y	1546-3141																																																yes	1976.0	2022.0	28835.0	566.0	601.0	28778.0	1.0	46.0	0.9980232356511184
8804836	Alcohol and alcoholism (Oxford, Oxfordshire). Supplement	Alcohol Alcohol Suppl	England	Oxford	Oxford University Press	1987		Irregular		1358-6173	1358-6173	eng	N	1987.0	Y	Y	IM	https://academic.oup.com/alcalc/	Y	1358-6173																																																yes	1987.0	2007.0	467.0	0.0	0.0	46.0	1.0	20.0	0.09850107066381156
101594475	Alcohol research : current reviews	Alcohol Res	United States	[Bethesda, MD]	National Institute on Alcohol Abuse and Alcoholism	2012		Quarterly	2169-4796	2168-3492	2168-3492	eng	Y	2012.0	Y	Y	IM	http://www.ncbi.nlm.nih.gov/pmc/journals/2195/	Y	2169-4796																																																yes	2012.0	2022.0	200.0	14.0	14.0	55.0	1.0	10.0	0.275
9812842	The Alkaloids. Chemistry and biology	Alkaloids Chem Biol	United States	San Diego	Academic Press	1998		Irregular		1099-4831	1099-4831	eng	N	2001.0	Y	Y	IM	http://www.sciencedirect.com/science/bookseries/10994831	Y	1099-4831																																																yes	2001.0	2022.0	128.0	7.0	5.0	127.0	1.0	21.0	0.9921875
9603640	Allergy and asthma proceedings	Allergy Asthma Proc	United States	Providence, R.I.	OceanSide Publications	1996		Bimonthly	1539-6304	1088-5412	1088-5412	eng	Y	1996.0	Y	Y	IM	http://www.ingentaconnect.com/content/ocean/aap	Y	1539-6304																																																yes	1996.0	2022.0	2472.0	108.0	98.0	2000.0	1.0	26.0	0.8090614886731392
9502013	Alternative therapies in health and medicine	Altern Ther Health Med	United States	Aliso Viejo, CA	InnoVision Communications	1995		Bimonthly		1078-6791	1078-6791	eng	N	1996.0	Y	N	IM		Y	1078-6791																																																yes	1995.0	2022.0	2154.0	125.0	220.0	0.0	1.0	27.0	0.0
1272646	American family physician	Am Fam Physician	United States	Kansas City, Mo.	American Academy of General Practice.	1970		Monthly,	1532-0650	0002-838X	0002-838X	eng	N	1970.0	Y	Y	IM	https://www.aafp.org/journals/afp.html	Y	1532-0650																																																yes	1970.0	2022.0	13738.0	378.0	343.0	0.0	1.0	52.0	0.0
100970957	American Indian and Alaska native mental health research (Online)	Am Indian Alsk Native Ment Health Res	United States	[Denver, Colo.]	National Center for American Indian and Alaska Native Mental Health Research	1999		Three times a year	1533-7731		1533-7731	eng	Y	2000.0	Y	Y	IM	http://www.ucdenver.edu/academics/colleges/PublicHealth/research/centers/CAIANH/journal/Pages/PastVolumes.aspx	Y	1533-7731																																																yes	2000.0	2022.0	264.0	9.0	22.0	259.0	1.0	22.0	0.9810606060606061
101489566	The American journal of case reports	Am J Case Rep	United States	Smithtown, NY	International Scientific Information, Inc.	2008			1941-5923		1941-5923	eng	N	2014.0	Y	Y	IM	http://www.amjcaserep.com/	Y	1941-5923																																																yes	2009.0	2022.0	3284.0	571.0	453.0	3282.0	1.0	13.0	0.9993909866017052
8207754	American journal of clinical oncology	Am J Clin Oncol	United States	Hagerstown, MD	Lippincott Williams & Wilkins	1982		Monthly,	1537-453X	0277-3732	0277-3732	eng	N	1982.0	Y	Y	IM	https://ovidsp.ovid.com/ovidweb.cgi?T=JS&NEWS=n&CSC=Y&PAGE=toc&D=yrovft&AN=00000421-000000000-00000	Y	1537-453X																																																yes	1982.0	2022.0	5012.0	104.0	86.0	4807.0	1.0	40.0	0.959098164405427
