NlmUniqueID	Title	Country	Publisher	PublicationFirstYear	PublicationEndYear	Frequency	Language	first_year	last_year	PMIDs	PMIDs_2021	PMIDs_2022	DOIs	unconquerables
0370307	Acta cytologica	Switzerland	Karger	1957		Bimonthly,	eng	1960.0	2022.0	8141.0	69.0	68.0	3389.0	
0370310	Acta dermato-venereologica	Sweden	Society for the Publication of Acta Dermato-Venereologica	1920		Annual,	eng	1945.0	2022.0	10471.0	271.0	216.0	6611.0	
9422563	Acta dermatovenerologica Alpina, Pannonica, et Adriatica	Slovenia	Združenje Slovenskih Dermatovenerologov	1992		Quarterly	eng	2004.0	2022.0	589.0	37.0	32.0	94.0	1.0
9433781	Acta dermatovenerologica Croatica : ADC	Croatia	Croatian Dermatovenerological Society	1993		Four no. a year	hrv	2001.0	2022.0	986.0	35.0	23.0	0.0	1.0
9200299	Acta diabetologica	Germany	Springer Verlag	1991		Four no. a year	eng	1991.0	2022.0	2670.0	201.0	223.0	2666.0	
0414075	Acta gastro-enterologica Belgica	Belgium	Universa Press	1946		Four no. a year	eng	1946.0	2022.0	4834.0	103.0	75.0	178.0	1.0
0141053	Acta haematologica	Switzerland	Karger.	1948		Eight no. a year	eng	1948.0	2022.0	6729.0	105.0	98.0	6712.0	
0370320	Acta histochemica	Germany	Gustav Fischer Verlag	1954		Six no. a year,	ger	1954.0	2022.0	5288.0	103.0	104.0	3162.0	
101587903	Acta medica academica	Bosnia and Herzegovina	Akademija nauka i umjetnosti Bosne i Hercegovine	2006		Three issues a year,	eng	2012.0	2022.0	335.0	43.0	21.0	335.0	
101241032	Acta medico-historica adriatica : AMHA	Croatia	Hrvatsko znanstveno društvo za povijest zdravstvene kulture	2003		Two no. a year	eng	2008.0	2022.0	366.0	23.0	9.0	82.0	
7901042	Acta medica Indonesiana	Indonesia	Indonesian Society of Internal Medicine	1968		Quarterly,	eng	2004.0	2022.0	1037.0	69.0	62.0	0.0	
0417611	Acta medica Okayama	Japan	Okayama University Medical School	1973		Six no. a year	eng	1973.0	2022.0	2724.0	105.0	80.0	2414.0	1.0
7906803	Acta médica portuguesa	Portugal	Centro Editor Livreiro da Ordem dos Médicos	1979		Bimonthly,	eng	1979.0	2022.0	4670.0	212.0	242.0	1462.0	
9705947	Acta medica (Hradec Králové)	Czech Republic	Facultas Medica Hradec Kralove, Universitas Carolina	1996		Four no. a year	eng	1996.0	2022.0	864.0	40.0	13.0	443.0	
9434021	Acta microbiologica et immunologica Hungarica	Hungary	Akademiai Kiado	1994		Quarterly	eng	1994.0	2022.0	1061.0	44.0	42.0	819.0	
9811169	Acta myologica : myopathies and cardiomyopathies : official journal of the Mediterranean Society of Myology	Italy	Gaetano Conte Academy	1997		Three no. a year	eng	2003.0	2022.0	423.0	23.0	19.0	80.0	1.0
1246675	Acta neurobiologiae experimentalis	Poland	Nencki Institute of Experimental Biology	1970		Quarterly	eng	1970.0	2022.0	2142.0	36.0	38.0	106.0	1.0
0151000	Acta neurochirurgica	Austria	Springer.	1950		Twelve no. a year	eng	1950.0	2022.0	11824.0	437.0	456.0	11493.0	
100962752	Acta neurochirurgica. Supplement	Austria	Springer-Verlag	1994			eng	1963.0	2022.0	3081.0	112.0	39.0	3028.0	1.0
0247035	Acta neurologica Belgica	Italy	Springer	1970		Four no. a year	fre	1970.0	2022.0	3539.0	325.0	478.0	2119.0	
0370336	Acta neurologica Scandinavica	Denmark	Wiley-Blackwell	1961		Monthly	eng	1961.0	2022.0	7740.0	173.0	190.0	7523.0	
9815355	Acta neurologica Taiwanica	China (Republic : 1949- )	Color Design	1996		Quarterly	eng	2004.0	2023.0	667.0	24.0	32.0	0.0	1.0
0412041	Acta neuropathologica	Germany	Springer Verlag	1961		Monthly	eng	1961.0	2022.0	8722.0	146.0	143.0	8650.0	
101610673	Acta neuropathologica communications	England	BioMed Central	2013			eng	2013.0	2022.0	1515.0	201.0	175.0	1515.0	
9612501	Acta neuropsychiatrica	England	Cambridge University Press	1989		Bimonthly,	eng	1989.0	2022.0	1413.0	45.0	50.0	1412.0	
0370343	Acta obstetricia et gynecologica Scandinavica	United States	Wiley	1926		Twelve no. a year,	eng	1947.0	2022.0	10594.0	299.0	191.0	9685.0	
8610218	Acta odontológica latinoamericana : AOL	Argentina	Acta Odontologica Latinoamericana	1984		Two no. a year	eng	1984.0	2022.0	652.0	38.0	20.0	101.0	1.0
0370344	Acta odontologica Scandinavica	England	Taylor & Francis	1939		Six no. a year	eng	1945.0	2022.0	3929.0	82.0	119.0	3879.0	
8709065	Acta oncologica (Stockholm, Sweden)	England	Informa Healthcare	1987		Eight no. a year,	eng	1987.0	2022.0	6512.0	240.0	209.0	6418.0	
101468102	Acta ophthalmologica	England	Wiley-Blackwell	2008		Eight no. a year	eng	2008.0	2022.0	4532.0	338.0	418.0	4532.0	
101231512	Acta orthopaedica	Sweden	Medical Journals Sweden AB	2005		Annual,	eng	2005.0	2022.0	2355.0	137.0	127.0	2307.0	
2985165R	Acta orthopaedica Belgica	Belgium	Acta Medica Belgica	1946		Five no. a year,	fre	1946.0	2022.0	5944.0	104.0	54.0	82.0	1.0
9424806	Acta orthopaedica et traumatologica turcica	Turkey	Turkish Association of Orthopaedics and Traumatology with publishing services by AVES	1962		Bimonthly,	eng	2002.0	2022.0	1916.0	104.0	65.0	1395.0	1.0
101190312	Acta ortopédica mexicana	Mexico	Sociedad Mexicana de Ortopedia	2002		Bimonthly	spa	2007.0	2022.0	1061.0	94.0	11.0	0.0	1.0
0370354	Acta oto-laryngologica	England	Taylor & Francis	1918		Monthly,	eng	1945.0	2022.0	11120.0	190.0	119.0	10586.0	
8213019	Acta otorhinolaryngologica Italica : organo ufficiale della Società italiana di otorinolaringologia e chirurgia cervico-facciale	Italy	Pacini editore	1981		Six no. a year	eng	1981.0	2022.0	2674.0	99.0	65.0	550.0	
101770938	Acta otorrinolaringologica española	Spain	Elsevier España	2004		Six issues yearly,	eng	2010.0	2022.0	454.0	118.0	80.0	454.0	
9205968	Acta paediatrica (Oslo, Norway : 1992)	Norway	Wiley-Blackwell	1992		Monthly	eng	1992.0	2022.0	11432.0	627.0	506.0	10916.0	
9301947	Acta parasitologica	Switzerland	Springer International Publishing	1992		Quarterly	eng	2012.0	2022.0	1322.0	183.0	213.0	1320.0	
9303678	Acta pharmaceutica (Zagreb, Croatia)	Poland	Sciendo	1992		Quarterly	eng	2003.0	2021.0	735.0	20.0		590.0	
100956087	Acta pharmacologica Sinica	United States	Nature Publishing Group	2000		Monthly	eng	2000.0	2022.0	4745.0	206.0	380.0	3639.0	
101262545	Acta physiologica (Oxford, England)	England	Wiley-Blackwell	2006		Monthly	eng	2006.0	2022.0	2524.0	177.0	139.0	2521.0	
0370364	Acta psychiatrica Scandinavica	United States	Wiley-Blackwell	1961		Monthly,	eng	1959.0	2022.0	7489.0	114.0	144.0	7384.0	
0370365	Acta psychiatrica Scandinavica. Supplementum	Denmark	Wiley-Blackwell	1961		Irregular	eng	1959.0	2015.0	1664.0			1292.0	1.0
0370366	Acta psychologica	Netherlands	North Holland Publishing	1935		Nine no. a year	eng	1949.0	2022.0	3729.0	175.0	264.0	3708.0	
8706123	Acta radiologica (Stockholm, Sweden : 1987)	England	Sage	1987		Ten no. a year,	eng	1987.0	2022.0	6177.0	248.0	382.0	4918.0	
101295615	Acta scientiarum polonorum. Technologia alimentaria	Poland	Wydawnictwo Uniwersytetu Przyrodniczego w Poznaniu	2002		Four issues a year,	eng	2011.0	2022.0	408.0	41.0	10.0	335.0	1.0
0370374	Acta tropica	Netherlands	Elsevier	1944		Twelve no. a year,	eng	1945.0	2023.0	7302.0	344.0	431.0	6160.0	
8406376	Acta veterinaria Hungarica	Hungary	Akademiai Kiado	1983		Quarterly	eng	1983.0	2022.0	1827.0	66.0	42.0	1209.0	
0370400	Acta veterinaria Scandinavica	England	BioMed Central	1959		Quarterly	eng	1965.0	2022.0	3403.0	54.0	35.0	1276.0	
0370401	Acta virologica	Slovakia	AEPress, Ltd	1957		Quarterly,	eng	1957.0	2022.0	4343.0	50.0	35.0	733.0	
0373062	Actas dermo-sifiliográficas	Spain	Elsevier España	1909		Ten no. a year,	eng	1945.0	2022.0	5248.0	37.0	437.0	2476.0	
100886502	Actas españolas de psiquiatría	Spain	Fundación Juan José López-Ibor	1999		Bimonthly	spa	1999.0	2022.0	1200.0	36.0	32.0	1.0	1.0
101771154	Actas urologicas españolas	Spain	Elsevier España	200u		Ten issues yearly	eng	2011.0	2022.0	525.0	120.0	105.0	525.0	
9304117	Acupuncture in medicine : journal of the British Medical Acupuncture Society	England	SAGE Publications	1983		Semiannual	eng	2001.0	2022.0	1260.0	111.0	103.0	1255.0	
101553725	Acute medicine	England	Rila	2005		Three issues yearly	eng	2005.0	2022.0	732.0	51.0	33.0	45.0	1.0
8701671	Adapted physical activity quarterly : APAQ	United States	Human Kinetics Publishers	1984		Quarterly	eng	2002.0	2022.0	468.0	43.0	45.0	466.0	
7603486	Addictive behaviors	England	Elsevier Science	1975		Nine no. a year,	eng	1975.0	2023.0	7210.0	415.0	298.0	7193.0	
9604935	Addiction biology	United States	Wiley-Blackwell	1996		Four no. a year	eng	1996.0	2022.0	2071.0	206.0	156.0	2069.0	
101316917	Addiction science & clinical practice	England	BioMed Central	2007		Irregular,	eng	2007.0	2022.0	440.0	73.0	67.0	414.0	
9304118	Addiction (Abingdon, England)	England	Wiley-Blackwell	1993		Monthly	eng	1993.0	2023.0	8780.0	415.0	433.0	8322.0	
9605506	Adicciones	Spain	Socidrogalcohol	1989		Quarterly	eng	2007.0	2022.0	630.0	66.0	50.0	298.0	1.0
101567863	Adipocyte	United States	Taylor & Francis	2012		Quarterly	eng	2012.0	2022.0	524.0	57.0	55.0	524.0	
8914574	Administration and policy in mental health	United States	Springer	1988		Bimonthly,	eng	1991.0	2022.0	1517.0	89.0	99.0	1514.0	
0407712	Advances in anatomy, embryology, and cell biology	Germany	Springer Verlag	1973		Irregular	eng	1973.0	2021.0	345.0	18.0		249.0	1.0
9435676	Advances in anatomic pathology	United States	Lippincott Williams & Wilkins	1994		Bimonthly	eng	1997.0	2022.0	945.0	35.0	62.0	929.0	1.0
8409340	Advances in anesthesia	United States	Elsevier Mosby	1984		Annual	eng	2009.0	2022.0	89.0	16.0	15.0	89.0	
0370413	Advances in applied microbiology	United States	Academic Press	1959		Annual	eng	1959.0	2022.0	720.0	15.0	11.0	696.0	1.0
8307733	Advances in biochemical engineering/biotechnology	Germany	Springer Verlag	1983		Irregular	eng	1983.0	2022.0	1157.0	40.0	54.0	1128.0	1.0
101775319	Advanced biology	Germany	Wiley-VCH GmbH	2021		Monthly	eng	2021.0	2022.0	213.0	91.0	122.0	213.0	
101572336	Advances in biological regulation	England	Elsevier	2012		Three no. a year	eng	2012.0	2022.0	433.0	37.0	38.0	433.0	
0370416	Advances in cancer research	United States	Elsevier	1953		Annual	eng	1953.0	2022.0	1161.0	40.0	42.0	1140.0	1.0
0240537	Advances in carbohydrate chemistry and biochemistry	Netherlands	Elsevier	1969		Annual	eng	1965.0	2022.0	277.0	8.0	12.0	242.0	1.0
0270063	Advances in cardiology	Switzerland	Karger	1970		Irregular	eng	1970.0	2012.0	1047.0			1030.0	1.0
0370417	Advances in child development and behavior	United States	Academic Press	1963		Irregular	eng	1970.0	2022.0	517.0	26.0	22.0	503.0	1.0
2985173R	Advances in clinical chemistry	United States	Academic Press	1958		Irregular	eng	1958.0	2022.0	743.0	42.0	42.0	690.0	1.0
101138582	Advances in clinical and experimental medicine : official organ Wroclaw Medical University	Poland	The University	1998		Bimonthly,	eng	2012.0	2022.0	1794.0	154.0	183.0	1586.0	
8706645	Advances in colloid and interface science	Netherlands	Elsevier	1967		Sixteen no. a year	eng	1986.0	2022.0	2056.0	152.0	170.0	2051.0	
8802131	Advances in dental research	United States	Sage	1987		Irregular	eng	1987.0	2019.0	803.0			775.0	1.0
8710523	Advanced drug delivery reviews	Netherlands	Elsevier Science Publishers, B.V.	1987		Twelve no. a year,	eng	1995.0	2022.0	3750.0	326.0	285.0	3734.0	
101285075	Advanced emergency nursing journal	United States	Lippincott Williams & Wilkins	2006		Quarterly	eng	2009.0	2022.0	558.0	51.0	52.0	558.0	1.0
0121103	Advances in experimental medicine and biology	United States	Kluwer Academic/Plenum Publishers	1967		Irregular	eng	1971.0	2023.0	40678.0	1333.0	589.0	38221.0	1.0
9001271	Advances in food and nutrition research	United States	Academic Press	1989		Annual	eng	1989.0	2022.0	557.0	39.0	35.0	543.0	1.0
0370421	Advances in genetics	United States	Academic Press	1947		Annual	eng	1947.0	2022.0	739.0	15.0	2.0	681.0	1.0
100971443	Advances in gerontology = Uspekhi gerontologii	Russia (Federation)	Ėskulap	19uu			eng	2001.0	2022.0	1996.0	120.0	65.0	4.0	1.0
101090746	Advances in health care management	Netherlands	Emerald	2000		Annual	eng	2011.0	2022.0	127.0	10.0	9.0	118.0	1.0
9612021	Advances in health sciences education : theory and practice	Netherlands	Springer Netherlands	1996		Five no. a year,	eng	1996.0	2022.0	1439.0	85.0	115.0	1439.0	
101581613	Advanced healthcare materials	Germany	Wiley-VCH	2012		Bimonthly	eng	2012.0	2022.0	3601.0	565.0	640.0	3601.0	
0370425	Advances in immunology	United States	Academic Press	1961		Annual	eng	1964.0	2022.0	896.0	12.0	11.0	864.0	1.0
9918523075306676	Advances in kidney disease and health	United States	Elsevier Inc.	2023		Bimonthly	eng							1.0
100960029	Advances in life course research	Netherlands	Elsevier	2000		Quarterly,	eng	2009.0	2022.0	93.0	3.0	4.0	93.0	1.0
0370431	Advances in marine biology	United States	Academic Press	1963		Annual	eng	2002.0	2022.0	246.0	11.0	7.0	245.0	1.0
9885358	Advanced materials (Deerfield Beach, Fla.)	Germany	Wiley-VCH	1989		Semimonthly,	eng	1998.0	2022.0	16309.0	1561.0	2263.0	16308.0	
101276222	Advances in medical sciences	Netherlands	Elsevier	2006		Two times a year,	eng	2006.0	2022.0	1071.0	56.0	52.0	836.0	
0117147	Advances in microbial physiology	England	Academic Press.	1967		Annual	eng	1971.0	2022.0	386.0	11.0	11.0	378.0	1.0
9813115	Advances in mind-body medicine	United States	InnoVision Communications	1998		Quarterly	eng	1999.0	2022.0	419.0	16.0	12.0	84.0	1.0
101125644	Advances in neonatal care : official journal of the National Association of Neonatal Nurses	United States	Wolters Kluwer Health/Lippincott Williams & Wilkins	2001		Bimonthly	eng	2002.0	2022.0	1384.0	99.0	126.0	1342.0	
101571545	Advances in neurobiology	United States	Springer	2011			eng	2011.0	2023.0	347.0	14.0	24.0	346.0	1.0
101540874	Advances in nutrition (Bethesda, Md.)	United States	Elsevier	2010		Bimonthly	eng	2010.0	2022.0	1427.0	208.0	146.0	1427.0	
0242534	Advances in oto-rhino-laryngology	Switzerland	Karger	1969		Irregular	eng	1970.0	2020.0	1663.0			1554.0	1.0
0370435	Advances in parasitology	England	Academic Press	1963		Annual	eng	1963.0	2022.0	775.0	20.0	16.0	766.0	1.0
0370436	Advances in pediatrics	United States	Mosby	1942		Annual	eng	1948.0	2022.0	853.0	16.0	19.0	298.0	
9015397	Advances in pharmacology (San Diego, Calif.)	United States	Academic Press	1990		Irregular	eng	1990.0	2022.0	1236.0	38.0	36.0	1213.0	1.0
100913944	Advances in physiology education	United States	American Physiological Society	1989		Annual,	eng	2000.0	2022.0	1598.0	121.0	109.0	1597.0	
101497281	Advances in protein chemistry and structural biology	Netherlands	Elsevier	2008		Irregular	eng	2008.0	2022.0	494.0	51.0	55.0	494.0	1.0
0101303	Advances in psychosomatic medicine	Switzerland	Karger.	1967		Irregular	eng	1967.0	2015.0	339.0			279.0	1.0
101697329	Advances in respiratory medicine	Switzerland	MDPI	2016		Bimonthly	eng	2016.0	2022.0	486.0	130.0	61.0	486.0	
101734172	Advances in rheumatology (London, England)	England	BioMed Central	2018			eng	2018.0	2022.0	276.0	74.0	46.0	276.0	
101664569	Advanced science (Weinheim, Baden-Württemberg, Germany)	Germany	WILEY-VCH	2014			eng	2014.0	2022.0	4742.0	912.0	1687.0	4742.0	
100911021	Advances in skin & wound care	United States	Lippincott Williams & Wilkins	2000		Nine no. a year,	eng	2000.0	2022.0	2088.0	160.0	161.0	2016.0	
0045335	Advances in surgery	United States	Elsevier	1965		Annual	eng	1965.0	2022.0	825.0	19.0	19.0	347.0	
7501064	Advances and technical standards in neurosurgery	United States	Springer-Verlag.	1974		Irregular,	eng	1984.0	2022.0	239.0		30.0	234.0	1.0
8611864	Advances in therapy	United States	Health Communications Inc.	1984		Monthly,	eng	1990.0	2022.0	3376.0	406.0	433.0	3290.0	
0370441	Advances in virus research	United States	Academic Press	1953		Irregular	eng	1953.0	2022.0	890.0	15.0	7.0	877.0	1.0
101590593	Advances in wound care	United States	Mary Ann Liebert, Inc.	2011		Ten no. a year,	eng	2012.0	2023.0	650.0	53.0	76.0	650.0	
101654770	Aerospace medicine and human performance	United States	Aerospace Medical Association	2015		Monthly	eng	2015.0	2022.0	1366.0	143.0	121.0	1258.0	1.0
9707469	Aesthetic surgery journal	England	Oxford University Press	1997		Eight no. a year,	eng	1997.0	2022.0	4478.0	577.0	490.0	4474.0	
7701756	Aesthetic plastic surgery	United States	Springer-Verlag.	1976		Six no. a year	eng	1976.0	2022.0	5967.0	514.0	780.0	5950.0	
101149451	African health sciences	Uganda	Faculty of Medicine, Makerere University	2001		Four no. a year,	eng	2001.0	2022.0	2534.0	243.0	181.0	2064.0	1.0
101146510	African journal of AIDS research : AJAR	South Africa	NISC	2002		Two no. a year	eng	2002.0	2022.0	755.0	41.0	38.0	755.0	
101255062	African journal of paediatric surgery : AJPS	India	Medknow Publications	2004		Quarterly,	eng	2008.0	2022.0	831.0	54.0	62.0	831.0	
101520860	African journal of primary health care & family medicine	South Africa	OpenJournals Pub.	2009			eng	2013.0	2022.0	745.0	101.0	80.0	745.0	
9712263	African journal of reproductive health	Nigeria	Women's Health and Action Research Centre	1997		Four no. a year,	eng	1997.0	2021.0	1180.0	24.0		326.0	1.0
0375655	Age and ageing	England	Oxford University Press	1972		Bimonthly	eng	1972.0	2022.0	6179.0	333.0	327.0	6105.0	
101128963	Ageing research reviews	England	Elsevier Science	2002		Four no. a year	eng	2002.0	2022.0	1525.0	204.0	227.0	1525.0	
7502265	Aggressive behavior	United States	Wiley-Liss	1974		Bimonthly	eng	1981.0	2022.0	852.0	64.0	68.0	852.0	
101508617	Aging	United States	Impact Journals, LLC	2008		Bimonthly	eng	2008.0	2022.0	6400.0	1441.0	610.0	6400.0	
101130839	Aging cell	England	Wiley-Blackwell	2002		Bimonthly	eng	2002.0	2022.0	2417.0	211.0	207.0	2417.0	
101132995	Aging clinical and experimental research	Germany	Springer	2002		Bimonthly	eng	2002.0	2022.0	3253.0	396.0	392.0	3163.0	
9808210	The aging male : the official journal of the International Society for the Study of the Aging Male	England	Taylor & Francis	1998		Quarterly	eng	2000.0	2022.0	895.0	19.0	36.0	851.0	
9705773	Aging & mental health	England	Routledge	1997		Eight no. a year,	eng	2000.0	2022.0	3130.0	282.0	459.0	3122.0	
9426197	Aǧrı : Ağrı (Algoloji) Derneği'nin Yayın organıdır = The journal of the Turkish Society of Algology	Turkey	Türk Algoloji (Aǧrı) Derneği	1989		Four no. a year	eng	2004.0	2022.0	674.0	47.0	51.0	456.0	1.0
8710219	AIDS (London, England)	England	Lippincott Williams & Wilkins	1987		Eighteen no. a year,	eng	1987.0	2023.0	14663.0	370.0	327.0	12894.0	
9712133	AIDS and behavior	United States	Springer Science + Business Media	1997		9 no. a year,	eng	1997.0	2022.0	4985.0	412.0	575.0	4984.0	
8915313	AIDS care	England	Informa Healthcare	1989		Ten no. a year	eng	1989.0	2022.0	5142.0	240.0	361.0	5105.0	
9002873	AIDS education and prevention : official publication of the International Society for AIDS Education	United States	Guilford Publications	1989		Bimonthly	eng	1989.0	2022.0	1583.0	38.0	37.0	1045.0	1.0
9607225	AIDS patient care and STDs	United States	Mary Ann Liebert, Inc.	1996		Monthly,	eng	1996.0	2022.0	3510.0	61.0	73.0	2592.0	
8709376	AIDS research and human retroviruses	United States	Mary Ann Liebert	1987		Eighteen no. a year	eng	1987.0	2022.0	6603.0	141.0	140.0	6441.0	
101237921	AIDS research and therapy	England	BioMed Central	2004			eng	2004.0	2022.0	770.0	100.0	62.0	770.0	
101134876	AIDS reviews	Spain	Permanyer Publications	1999		Quarterly	eng	2000.0	2022.0	557.0	21.0	23.0	113.0	1.0
9312325	Air medical journal	United States	Mosby	1993		Bimonthly,	eng	1993.0	2022.0	1582.0	93.0	82.0	1507.0	
8003708	AJNR. American journal of neuroradiology	United States	American Society of Neuroradiology	1980		Ten no. a year	eng	1980.0	2022.0	14176.0	406.0	300.0	6540.0	
101631047	AJOB empirical bioethics	United States	Taylor & Francis Group, 2014-	2014		Four issues per year	eng	2014.0	2022.0	203.0	26.0	30.0	203.0	
