NlmUniqueID	MeshHeading	sherpa_oa	embargo	sherpa_oa_green	additional_oa_fee	sherpa_oa_hybrid
1254476	Accidents, Traffic	yes	12.0	yes	yes	yes
9305090	Accidents					
9305090	Emergencies					
9305090	Emergency Nursing					
9305090	Nursing Care					
9100813	Ethics	yes	12.0	yes	yes	yes
9100813	Program Evaluation	yes	12.0	yes	yes	yes
9100813	Research	yes	12.0	yes	yes	yes
9104824	Medicine					
0373054	Medicine					
0137764	Neoplasms					
101504991	Biocompatible Materials	yes	12.0	yes	yes	yes
101504991	Chemical Phenomena	yes	12.0	yes	yes	yes
101654670	Biocompatible Materials	yes	12.0	yes	yes	yes
101654670	Bioengineering	yes	12.0	yes	yes	yes
101282906	Biochemistry	yes	12.0	yes	yes	yes
101282906	Biology	yes	12.0	yes	yes	yes
101525337	Nervous System	yes	12.0	yes	yes	yes
101525337	Neurosciences	yes	12.0	yes	yes	yes
101540531	Chemistry, Pharmaceutical					
101540531	Combinatorial Chemistry Techniques					
101540531	Drug Discovery					
101540531	Pharmaceutical Preparations					
101654580	Communicable Diseases	yes	12.0	yes	yes	yes
101313589	Nanotechnology	yes	12.0	yes	yes	yes
101669031	Biosensing Techniques	yes	12.0	yes	yes	yes
101575075	Genetic Engineering	yes	12.0	yes	yes	yes
101575075	Synthetic Biology	yes	12.0	yes	yes	yes
14530110R	Liver					
0400662	Central Nervous System					
8300028	Medicine					
0370567	Hypersensitivity					
0421021	Hypersensitivity					
0340732	Anesthesiology					
0340732	Postoperative Care					
0340732	Preoperative Care					
0421022	Anesthesiology					
0370270	Anesthesiology	yes	12.0	yes	yes	yes
0370271	Anesthesiology					
9432542	Anesthesia					
101214918	Anesthesia					
0370272	Anatomy					
0370272	Cell Biology					
0370272	Embryology					
0370272	Histology					
0370273	Anatomy					
7801158	Genetics, Medical					
14520280R	Pathology					
14520280R	Physiology					
0063222	Military Medicine					
0063222	Pharmacy					
8307581	Physical Therapy Modalities					
8307581	Physical and Rehabilitation Medicine					
8307581	Rehabilitation					
0067725	Biochemistry					
0067725	Biophysics					
8701158	Biochemistry					
8701158	Biophysics					
101206716	Biochemistry					
101206716	Biophysics					
14520300R	Biochemistry	yes				
101194794	Biomechanical Phenomena					
101194794	Biomedical Technology					
0370274	Biology					
1246764	Biochemistry					
1246764	Biology					
8404358	Biology					
0370275	Biology					
0370275	Medicine					
0370276	Biology					
0370276	Medicine					
101233144	Biocompatible Materials	yes	12.0	yes	yes	yes
101295064	Medicine					
8106323	Medicine					
0421520	Biology	yes	12.0	yes	yes	yes
0421520	Zoology	yes	12.0	yes	yes	yes
14520330R	Bacteriology					
14520330R	Pharmacology					
14520330R	Physiology					
0370300	Neoplasms					
0370570	Cardiology	yes	12.0	yes	yes	yes
0376316	Cardiology					
0421263	Biochemistry					
0421263	Chemistry					
9012772	Biochemistry					
9012772	Chemistry					
9012772	Chemistry, Inorganic					
9012772	Chemistry, Organic					
9012772	Chemistry, Physical					
0421761	Chemistry					
0421761	Chemistry, Physical					
0421265	Biochemistry					
0421265	Chemistry, Organic					
101247110	Chemical Phenomena	yes	0.0	yes		
2984283R	General Surgery					
0370571	General Surgery	yes	12.0	yes	yes	yes
8309977	General Surgery					
0370303	General Surgery					
0372631	General Surgery					
0407123	Orthopedics					
0407123	Wounds and Injuries					
14530010R	General Surgery					
0370301	Surgery, Plastic					
7906530	General Surgery					
0370305	General Surgery					
0070154	Science					
9103983	Surgical Procedures, Operative					
0370306	Medicine	yes	12.0	yes	yes	yes
0043523	Medicine					
9425483	Clinical Medicine	yes				
8503035	Dentistry					
0211526	Crystallography					
0211627	Crystallization					
0211627	Crystallography					
8305825	Crystallography					
101620182	Crystallography	yes	0.0	yes	yes	yes
8403252	Crystallization					
8403252	Crystallography					
0211630	Crystallization					
0211630	Crystallography					
101609037	Crystallization	yes	0.0	yes	yes	yes
101609037	Crystallography	yes	0.0	yes	yes	yes
8305826	Crystallography					
101620313	Chemical Phenomena	yes	0.0	yes	yes	yes
101620313	Crystallography	yes	0.0	yes	yes	yes
9305878	Crystallography					
101676043	Biochemical Phenomena	yes	0.0	yes	yes	yes
101676043	Chemistry Techniques, Analytical	yes	0.0	yes	yes	yes
101676043	Molecular Structure	yes	0.0	yes	yes	yes
101620319	Crystallization	yes	0.0	yes	yes	yes
101620319	Crystallography	yes	0.0	yes	yes	yes
101620319	Macromolecular Substances	yes	0.0	yes	yes	yes
101226117	Crystallization					
101226117	Crystallography					
101226117	Macromolecular Substances					
0370307	Cell Biology	yes	0.0	yes	yes	yes
0370307	Gynecology	yes	0.0	yes	yes	yes
0370310	Dermatology	yes	0.0	yes		
0370310	Sexually Transmitted Diseases	yes	0.0	yes		
0370311	Dermatology					
0370311	Sexually Transmitted Diseases					
0266344	Dermatology					
9422563	Sexually Transmitted Diseases					
9422563	Skin Diseases					
9433781	Dermatology					
9433781	Sexually Transmitted Diseases					
9433781	Skin Diseases					
9200299	Diabetes Mellitus	yes	12.0	yes	yes	yes
0123567	Diabetes Mellitus					
0236000	Embryology					
0236000	Histology					
0236000	Research					
0235532	Embryology					
0235532	Histology					
0235532	Research					
8108943	Embryology					
8108943	Histology					
0370312	Endocrinology					
14530070R	Endocrine Glands					
0370313	Endocrinology					
1300660	Fertility					
0414075	Gastroenterology					
0261505	Gastroenterology					
0370314	Genetics					
0370314	Twins					
0200600	Genetics					
0200600	Statistics as Topic					
7501996	Geriatrics					
0370317	Gynecology					
0141053	Hematology	yes	0.0	yes	yes	yes
0262610	Hematology					
0340734	Gastroenterology					
0340734	Liver Diseases					
0340735	Liver Diseases					
0340735	Splenic Diseases					
0060677	History of Medicine					
0060677	Science					
7907017	History of Medicine					
7907017	Spain					
0416660	History of Medicine					
0416660	Science					
0370320	Biochemistry	yes	12.0	yes	yes	yes
0370320	Histology	yes	12.0	yes	yes	yes
0061372	Histocytochemistry					
0401031	Hospitals					
0401031	Medicine					
0370321	Neoplasms					
0370321	Radiology					
0421025	Nuclear Medicine					
0421025	Radioisotopes					
0413650	Tropical Medicine					
0037353	Leprosy					
101587903	Medicine					
0370323	Medicine					
7501997	Internal Medicine					
7502262	Internal Medicine					
0243663	Medicine					
0243663	Microbiology					
9208249	Medicine					
14540010R	Medicine					
14540020R	Medicine					
101241032	Europe					
101241032	History of Medicine					
8400269	Medicine					
7901042	Medicine					
14540050R	History of Medicine					
14540050R	Medicine					
14540070R	Communicable Diseases					
14540070R	Parasitology					
14540080R	Gastroenterology					
14540080R	Tropical Medicine					
0370324	Medicine					
9713996	Forensic Medicine					
7611894	Forensic Medicine					
7611894	Social Medicine					
0372633	Medicine					
0417611	Medicine					
0417612	Medicine					
14540100R	Medicine					
0376306	Medicine					
14540110R	Medicine					
14540110R	Spleen					
0312677	Medicine					
0370326	Medicine					
7906803	Medicine	yes	0.0	yes		
0370330	Internal Medicine					
0370331	Medicine					
0370327	Medicine					
0413651	Medicine					
0000212	Veterinary Medicine					
0116720	Medicine					
9705947	Medicine	yes	0.0	yes		
9815916	Medicine					
14530160R	Medicine					
0370333	Microbiology					
7901426	Allergy and Immunology					
7901426	Microbiology					
7901426	Virology					
8400270	Microbiology					
9434021	Allergy and Immunology	yes	0.0	yes	yes	yes
9434021	Microbiology	yes	0.0	yes	yes	yes
7610362	Microbiology					
0206214	Microbiology					
7610360	Microbiology					
7610361	Microbiology					
7610361	Soil Microbiology					
7600027	Allergy and Immunology					
7600027	Microbiology					
7600027	Virology					
0370334	Anatomy					
0375331	Anatomy					
8307964	Anatomy					
8307964	Pathology					
8307964	Physiology					
0370335	Anatomy					
9811169	Cardiomyopathies					
9811169	Muscular Diseases					
14540160R	Anatomy					
14540160R	Pathology					
1246675	Biology					
1246675	Neurophysiology					
0151000	Neurosurgery	yes	12.0	yes	yes	yes
100962752	Neurosurgery					
100962752	Neurosurgical Procedures					
0140560	Neurosurgical Procedures					
0421100	Neurology					
0247035	Neurology	yes	12.0	yes	yes	yes
9421556	Neurology					
0247036	Neurology					
0247036	Psychiatry					
7506814	Neurology					
0370336	Neurology	yes	12.0	yes	yes	yes
0370337	Neurology					
9815355	Nervous System Diseases					
9815355	Neurosciences					
9815355	Neurosurgery					
0412041	Neurology	yes	12.0	yes	yes	yes
0412041	Pathology	yes	12.0	yes	yes	yes
101610673	Nervous System Diseases	yes	0.0	yes		
101610673	Neurology	yes	0.0	yes		
101610673	Pathology	yes	0.0	yes		
0370342	Neurology					
9612501	Biological Psychiatry	yes	0.0	yes	yes	yes
9612501	Neuropsychology	yes	0.0	yes	yes	yes
0162324	Autonomic Nervous System					
0162324	Internal Medicine					
1303605	Autonomic Nervous System					
0147634	Gynecology					
0147634	Obstetrics					
0221541	Gynecology					
0221541	Obstetrics					
0202673	Gynecology					
0202673	Obstetrics					
0370343	Gynecology	yes	0.0	yes		
0370343	Obstetrics	yes	0.0	yes		
0337655	Gynecology					
0337655	Obstetrics					
8610218	Dentistry					
8610218	Research					
8112880	Pediatric Dentistry					
0370344	Dentistry	yes	12.0	yes	yes	yes
0370345	Dentistry					
14540210R	Dentistry					
8709065	Medical Oncology	yes	12.0	yes	yes	yes
8709065	Neoplasms	yes	12.0	yes	yes	yes
8709065	Physics	yes	12.0	yes	yes	yes
8709065	Radiation Effects	yes	12.0	yes	yes	yes
0370346	Neoplasms					
101468102	Eye Diseases	yes	12.0	yes	yes	yes
0370347	Eye Diseases					
9507578	Eye Diseases					
9516974	Eye Diseases					
9216417	Eye Diseases					
9216417	Ophthalmology					
0370350	Ophthalmology					
101485969	Eye Diseases					
101231512	Orthopedics					
2985165R	Orthopedics					
0370352	Orthopedics					
0370353	Orthopedics					
101244827	Orthopedics					
9424806	Orthopedic Procedures					
9424806	Orthopedics					
9424806	Traumatology					
9424806	Wounds and Injuries					
101190312	Orthopedics					
101190312	Wounds and Injuries					
0370354	Otolaryngology	yes	12.0	yes	yes	yes
14540240R	Otolaryngology					
0370355	Otolaryngology					
0373057	Otolaryngology					
8213019	Otolaryngology					
7610363	Otolaryngology					
14540260R	Otorhinolaryngologic Diseases					
101770938	Otorhinolaryngologic Diseases	yes	12.0	yes	yes	yes
0000213	Pediatrics					
9205968	Pediatrics	yes	12.0	yes	yes	yes
0372634	Pediatrics					
0372635	Pediatrics					
8307729	Pediatrics					
0370357	Pediatrics					
0370360	Pediatrics					
0000211	Pediatrics					
0173166	Pediatrics					
9315043	Pediatrics					
14540280R	Pediatrics					
100958202	Pediatrics					
0400661	Child Psychiatry					
9301947	Parasites	yes	12.0	yes	yes	yes
9301947	Parasitology	yes	12.0	yes	yes	yes
0372637	Pathology					
8206622	Pathology					
8206623	Microbiology					
8206624	Allergy and Immunology					
8211441	Allergy and Immunology					
8211441	Microbiology					
8211441	Pathology					
7508471	Microbiology					
7508471	Pathology					
7508468	Pathology					
7508472	Microbiology					
7508470	Allergy and Immunology					
7508470	Microbiology					
7508469	Allergy and Immunology					
8211440	Microbiology					
8211440	Pathology					
14610060R	Pathology					
0405466	Pediatrics					
9303678	Pharmaceutical Preparations	yes	0.0	yes		
0414322	Pharmacy					
14610080R	Pharmacy					
0375332	Chemistry, Pharmaceutical					
0375332	Pharmacy					
8915967	Pharmacokinetics					
8915967	Pharmacology					
8915967	Technology, Pharmaceutical					
0000216	Pharmacy					
0000216	Research					
100956087	Pharmacology	yes	6.0	yes	yes	yes
0370572	Pharmacology					
0370572	Toxicology					
101262545	Physiological Phenomena	yes	12.0	yes	yes	yes
0371156	Physiology					
0371156	Research					
8309201	Physiology					
0060610	Physiology					
7512568	Pharmacology					
7512568	Physiology					
8409686	Pharmacology					
8409686	Physiology					
14610130R	Pharmacology					
14610130R	Physiology					
9200300	Pharmaceutical Preparations					
9200300	Physiology					
9200300	Therapeutics					
2985166R	Physiology					
2985166R	Research					
0370362	Pharmacology					
0370362	Physiology					
0376307	Physiology					
17810470R	Physical Therapy Modalities					
17810470R	Rheumatic Diseases					
2985167R	Pharmacy					
0373060	Psychiatry					
0373060	Psychology					
0247037	Psychiatry					
14610150R	Neurology					
14610150R	Psychiatry					
14610180R	Mental Disorders					
14610180R	Nervous System					
14610170R	Mental Disorders					
14610170R	Nervous System					
0370364	Psychiatry	yes	12.0	yes	yes	yes
0370365	Psychiatry					
0370366	Psychology	yes	0.0	yes		
0000220	Psychosomatic Medicine					
0000220	Psychotherapy					
0000220	Rehabilitation					
101259884	Psychosomatic Medicine					
101259884	Psychotherapy					
101259884	Rehabilitation					
8706123	Radiography	yes	0.0	yes	yes	yes
8706123	Radionuclide Imaging	yes	0.0	yes	yes	yes
14610230R	Neoplasms					
14610230R	Radiology					
0370367	Diagnosis					
0370367	Radiography					
8209606	Medical Oncology					
8209606	Neoplasms					
8209606	Physics					
8209606	Radiation Effects					
7805897	Medical Oncology					
7805897	Neoplasms					
7805897	Physics					
7805897	Radiation Effects					
7805897	Radiology					
101470759	Neoplasms					
101470759	Physics					
101470759	Radiology					
101470759	Radiotherapy					
0370370	Radiology					
101470699	Radiology					
0000201	Neoplasms					
0000201	Physics					
0000201	Radiation Effects					
0000201	Radiology					
0431702	Rheumatic Diseases					
0321403	Arthritis					
0321403	Rheumatic Diseases					
0400312	Arthritis					
0400312	Rheumatic Diseases					
7908064	Rheumatic Diseases					
7903226	Rheumatic Diseases					
7611898	Medicine					
101295615	Food					
101295615	Nutritional Physiological Phenomena					
8209607	Science					
0332127	Medicine					
0332130	Medicine					
2985168R	Social Medicine					
0414076	Social Medicine					
0421026	Mouth Diseases					
0253456	Dentistry					
0253456	Mouth Diseases					
8807267	Mouth Diseases					
21030300R	Medicine					
21030310R	Medicine					
0314001	Mammals					
0370374	Ethnology	yes	12.0	yes	yes	yes
0370374	Tropical Medicine	yes	12.0	yes	yes	yes
7611896	Tropical Medicine					
14610280R	Tuberculosis					
0157725	Tuberculosis					
0370376	Respiratory Tract Diseases					
0370376	Tuberculosis					
0064362	Lung Diseases					
0064362	Tuberculosis					
0064754	Lung Diseases					
0064754	Tuberculosis					
14610290R	Tuberculosis					
14610300R	Tuberculosis					
7502506	Neoplasms					
2985169R	Medicine					
0177667	Medicine					
0363112	Medicine					
14620010R	Urology					
0377045	Urology					
14620020R	Veterinary Medicine					
0370377	Veterinary Medicine					
8406376	Veterinary Medicine	yes	0.0	yes	yes	yes
0370400	Veterinary Medicine	yes	0.0	yes		
0061331	Veterinary Medicine					
0370401	Virology					
0134541	Enzymes					
0134541	Vitamins					
0135063	Enzymes					
0135063	Vitamins					
0100314	Animal Diseases					
0100314	Pathology					
0100314	Zoology					
14620060R	History of Medicine					
14620070R	History of Medicine					
14620070R	Medicine					
0373062	Dermatology					
0373062	Sexually Transmitted Diseases					
0373062	Syphilis					
101777537	Dermatology					
101777537	Sexually Transmitted Diseases					
101777537	Syphilis					
100886502	Mental Disorders					
0355646	Neurology					
0355646	Psychiatry					
0355573	Neurology					
0355573	Psychiatry					
0410423	Medicine					
7704993	Urology					
101771154	Urologic Diseases	yes	12.0	yes		
14620310R	Anatomy					
14620310R	Pathology					
14620330R	Biology					
14620330R	Medicine					
0143027	Angiography					
0143027	Blood Vessels					
0143027	Cardiology					
0370405	Endocrinology					
0264367	Gastroenterology					
0264367	Liver Diseases					
0370402	Medicine					
14620190R	Medicine					
7513548	Neurophysiology					
9614683	Dentistry					
9614683	Mouth Diseases					
0370406	Dentistry					
0370406	Mouth Diseases					
2985171R	Pediatrics					
0043545	Pharmacology					
0370407	Pharmacology					
7611901	Pathology					
7610364	Acupuncture Therapy					
7610364	Electric Stimulation Therapy					
9304117	Acupuncture Therapy	yes	0.0	yes	yes	yes
101276603	Cardiovascular Diseases					
101276603	Cardiovascular Surgical Procedures					
8412026	Critical Care					
8412026	Monitoring, Physiologic					
101553725	Acute Disease					
8704179	Education, Nursing, Associate					
8704179	Nursing					
7506508	Diabetes Mellitus					
0253044	Dentistry					
8701671	Physical Education and Training	yes	0.0	yes	yes	yes
8701671	Physical Therapy Modalities	yes	0.0	yes	yes	yes
7603486	Alcoholism	yes	18.0	yes	yes	yes
7603486	Behavior	yes	18.0	yes	yes	yes
7603486	Feeding Behavior	yes	18.0	yes	yes	yes
7603486	Obesity	yes	18.0	yes	yes	yes
7603486	Smoking	yes	18.0	yes	yes	yes
7603486	Substance-Related Disorders	yes	18.0	yes	yes	yes
9604935	Alcoholism	yes	12.0	yes	yes	yes
9604935	Substance-Related Disorders	yes	12.0	yes	yes	yes
9604935	Tobacco Use Disorder	yes	12.0	yes	yes	yes
0425064	Substance-Related Disorders					
101316917	Substance-Related Disorders	yes	0.0	yes		
9304118	Substance-Related Disorders	yes	12.0	yes	yes	yes
9304118	Tobacco Use Disorder	yes	12.0	yes	yes	yes
0067036	Medicine					
9605506	Substance-Related Disorders					
101567863	Adipocytes	yes	0.0	yes		
101567863	Adipose Tissue	yes	0.0	yes		
8712346	Dentistry					
0370411	Dentistry					
0361564	Delivery of Health Care					
0361564	Mental Health Services					
0361564	Organization and Administration					
8914574	Health Policy	yes	12.0	yes	yes	yes
8914574	Mental Health	yes	12.0	yes	yes	yes
8914574	Mental Health Services	yes	12.0	yes	yes	yes
8712333	Radiology					
9702245	Radiology					
0240207	Organization and Administration					
7800009	Organization and Administration					
7800009	Social Work					
8812074	Admitting Department, Hospital					
8812074	Patient Admission					
9006270	Adolescent Medicine					
101196463	Adolescent Medicine					
101314248	Adolescent Medicine					
1302147	Adolescent Psychiatry					
0123667	Adolescent					
8107172	Alcoholism					
8107172	Substance-Related Disorders					
0407712	Anatomy					
0407712	Cell Biology					
0407712	Embryology					
9435676	Pathology					
8409340	Anesthesiology	yes	12.0	yes	yes	yes
8409340	Critical Care	yes	12.0	yes	yes	yes
0370413	Microbiology					
1304163	Behavior					
1304163	Behavioral Sciences					
1304163	Biology					
8307733	Biochemistry					
8307733	Chemical Engineering					
8307733	Microbiology					
8307733	Technology					
0211233	Psychopharmacology					
101775319	Biological Science Disciplines	yes	12.0	yes	yes	yes
0370414	Biophysics					
0370414	Physics					
101572336	Biochemical Phenomena	yes	12.0	yes	yes	yes
101572336	Cell Physiological Phenomena	yes	12.0	yes	yes	yes
0426664	Dermatology					
7611904	Biomedical Engineering					
7611904	Biophysics					
0262476	Biophysics					
0225721	Biology					
0225721	Hormones					
0225721	Research					
101711718	Biological Science Disciplines					
8305187	Biochemistry					
8305187	Biomedical Engineering					
8305187	Microbiology					
0370416	Neoplasms, Experimental					
0240536	Biochemistry					
0240536	Carbohydrates					
0240537	Biochemistry					
0240537	Carbohydrates					
9007186	Cardiac Surgical Procedures					
0270063	Cardiology					
14630130R	Cardiovascular Diseases					
14630130R	Lung Diseases					
14630130R	Pulmonary Heart Disease					
0235424	Cell Biology					
0236562	Drug Therapy					
0370417	Child Behavior					
0370417	Child Development					
0370417	Psychology, Child					
0121020	Chromatography					
101209214	Kidney Failure, Chronic	yes	12.0	yes	yes	yes
8912856	Education, Nursing, Associate					
8912856	Nursing Assessment					
8912856	Nursing Care					
8912856	United States					
2985173R	Chemistry, Clinical					
101138582	Clinical Medicine					
101138582	Medicine					
9709997	Pathology, Clinical					
0430232	Pharmacology					
8809051	Rehabilitation					
8706645	Chemistry, Physical	yes	12.0	yes	yes	yes
8706645	Colloids	yes	12.0	yes	yes	yes
0370422	Biochemistry					
0370422	Physiology, Comparative					
8607435	Contraception					
8404639	Nucleotides, Cyclic					
8404639	Phosphoproteins					
8404639	Protein Kinases					
0341362	Nucleotides, Cyclic					
1301733	Cell Biology					
1301733	Pharmacology					
7703830	Health Surveys					
7703830	Vital Statistics					
8802131	Dentistry					
8606032	Dermatology					
8710523	Pharmaceutical Preparations	yes	12.0	yes	yes	yes
0040021	Pharmaceutical Preparations					
0040021	Pharmacology					
101285075	Emergency Nursing					
9102501	Endocrine System Diseases					
9102501	Hormones					
9102501	Metabolic Diseases					
0044263	Enzymes					
0337243	Enzymes					
0337243	Molecular Biology					
0337244	Biochemistry					
0337244	Enzymes					
0121103	Biology	yes	12.0	yes		
0121103	Medicine	yes	12.0	yes		
14630160R	Dental Caries					
14630160R	Fluoridation					
9001271	Food					
9001271	Nutritional Physiological Phenomena					
0370423	Food					
0370423	Nutritional Physiological Phenomena					
0221542	Food					
0221542	Nutritional Physiological Phenomena					
0370421	Genetics					
100971443	Geriatrics					
0436264	Aging					
101090746	Delivery of Health Care					
101090746	Health Services Administration					
8206631	Economics, Medical					
8206631	Health Services Research					
9013413	Economics, Medical					
9013413	Health Services Research					
9612021	Education, Dental	yes	12.0	yes	yes	yes
9612021	Education, Medical	yes	12.0	yes	yes	yes
9612021	Education, Nursing	yes	12.0	yes	yes	yes
9612021	Physical Therapy Specialty	yes	12.0	yes	yes	yes
101581613	Biocompatible Materials	yes	12.0	yes	yes	yes
101581613	Nanotechnology	yes	12.0	yes	yes	yes
0370424	Heterocyclic Compounds					
1256347	Genetics, Medical					
8601071	Immunotherapy					
8601071	Neoplasms					
0370425	Allergy and Immunology					
7909203	Biochemistry					
7909203	Ions					
7909203	Metals					
0370427	Internal Medicine					
100960029	Aging					
100960029	Life Change Events					
0000262	Lipids					
0370431	Marine Biology					
9885358	Biomedical and Dental Materials	yes	12.0	yes	yes	yes
9885358	Manufactured Materials	yes	12.0	yes	yes	yes
101276222	Medicine	yes	12.0	yes	yes	yes
0370430	Metabolic Diseases					
0370430	Metabolism					
0117147	Biochemistry					
0117147	Microbiology					
9813115	Mind-Body Relations, Metaphysical					
9813115	Psychophysiology					
9813115	Psychosomatic Medicine					
7611906	Morphogenesis					
8000285	Cardiology					
101125644	Infant Care	yes	12.0	yes	yes	yes
101125644	Infant, Newborn, Diseases	yes	12.0	yes	yes	yes
0311622	Kidney Diseases					
101571545	Nervous System Physiological Phenomena					
9108376	Immune System					
9108376	Nervous System					
9108376	Neuroimmunomodulation					
0367524	Neurology					
101549550	Nurse Practitioners					
101549550	Physician Assistants					
9892010	Nurse Practitioners					
9892010	Nursing					
101540874	Nutritional Physiological Phenomena	yes	12.0	yes	yes	yes
101540874	Nutritional Sciences	yes	12.0	yes	yes	yes
7802764	Nutritional Physiological Phenomena					
8213022	Ophthalmologic Surgical Procedures					
8213022	Surgery, Plastic					
0263212	Ophthalmology					
0000261	Dentistry					
0000261	Mouth Diseases					
0242534	Otolaryngology					
0370435	Parasitology					
7511090	Biology					
7511090	Pathology					
0370436	Pediatrics	yes	12.0	yes	yes	yes
8803391	Child					
8803391	Communicable Diseases					
8803391	Infant					
9104803	Peritoneal Dialysis					
14640020R	Insecticides					
0040024	Pharmacy					
0236563	Pharmacology					
9015397	Drug Therapy					
9015397	Pharmacology					
0237113	Drug Therapy					
0237113	Pharmacology					
100913944	Physiology	yes	12.0	yes	yes	yes
100913944	Teaching	yes	12.0	yes	yes	yes
7513751	Contraception					
7513751	Family Planning Services					
9515177	Nurse Clinicians					
9515177	Nurse Practitioners					
9442478	Nurse Anesthetists					
9442478	Nurse Clinicians					
9442478	Nurse Practitioners					
9442478	Specialties, Nursing					
8211444	Lipoxygenase					
8211444	Prostaglandins					
8211444	Thromboxanes					
7610366	Prostaglandins					
7610366	Thromboxanes					
0116732	Biochemistry					
0116732	Proteins					
101497281	Biochemistry					
101497281	Proteins					
0337407	Behavior					
0337407	Biology					
0337407	Psychology					
0337407	Psychophysiology					
0101303	Psychosomatic Medicine					
9433799	Renal Replacement Therapy					
7513188	Reproduction					
101697329	Respiratory Tract Diseases	yes	0.0	yes		
101734172	Arthritis	yes	0.0	yes		
101734172	Collagen Diseases	yes	0.0	yes		
101734172	Rheumatic Diseases	yes	0.0	yes		
0370412	Science					
101664569	Biomedical Research	yes	0.0	yes		
8807408	Calcium					
8807408	Nucleotides, Cyclic					
8807408	Phosphoproteins					
7504908	Gonadal Steroid Hormones					
7908298	Shock					
100911021	Pressure Ulcer	yes	12.0	yes	yes	yes
100911021	Wound Healing	yes	12.0	yes	yes	yes
100911021	Wounds and Injuries	yes	12.0	yes	yes	yes
0410245	Dentistry					
9316462	Aerospace Medicine					
9316462	Biology					
9316462	Extraterrestrial Environment					
9316462	Space Flight					
1251746	Biochemistry					
1251746	Pharmacology					
1251746	Steroids					
0064756	General Surgery					
0045335	General Surgery	yes	12.0	yes	yes	yes
7501064	Neurosurgery					
8611864	Diagnosis	yes	12.0	yes	yes	yes
8611864	Drug Therapy	yes	12.0	yes	yes	yes
8611864	Equipment and Supplies	yes	12.0	yes	yes	yes
14640050R	Radioisotopes					
14640050R	Radiometry					
0347575	Tuberculosis					
9714525	Animal Diseases					
9714525	Veterinary Medicine					
0216704	Veterinary Medicine					
0216540	Medicine					
0216540	Veterinary Medicine					
0370441	Virology					
9432971	Pressure Ulcer					
9432971	Wounds and Injuries					
101590593	Wound Healing	yes	0.0	yes	yes	yes
101590593	Wounds and Injuries	yes	0.0	yes	yes	yes
8217118	Drug-Related Side Effects and Adverse Reactions					
8217118	Toxicology					
9109474	Drug-Related Side Effects and Adverse Reactions					
9109474	Poisoning					
9109474	Poisons					
14640080R	Aerospace Medicine					
0373063	Aerospace Medicine					
7501696	Aerospace Medicine					
7501696	Space Flight					
101654770	Aerospace Medicine					
101654770	Space Flight					
0000304	Military Medicine					
9707469	Surgery, Plastic	yes	12.0	yes	yes	yes
7701756	Esthetics	yes	12.0	yes		
