NlmUniqueID	Title	MedlineTA	Country	Place	Publisher	PublicationFirstYear	PublicationEndYear	Frequency	ISSN-Electronic	ISSN-Print	ISSN-Linking	Language	TitleContinuationYN	IndexingStartDate	CurrentlyIndexedYN	IndexOnlineYN	IndexingSubset	IndexingSelectedURL	ReportedMedlineYN	ISSN
8917200	Academic psychiatry : the journal of the American Association of Directors of Psychiatric Residency Training and the Association for Academic Psychiatry	Acad Psychiatry	United States	New York, NY	Springer	1989		Quarterly	1545-7230	1042-9670	1042-9670	eng	N	2003.0	Y	Y	IM	http://link.springer.com/journal/volumesAndIssues/40596	Y	1545-7230
9440159	Academic radiology	Acad Radiol	United States	Reston Va	Association Of University Radiologists	1994		Monthly	1878-4046	1076-6332	1076-6332	eng	N	1996.0	Y	Y	IM	http://www.sciencedirect.com/science/journal/10766332	Y	1878-4046
0157313	Accounts of chemical research	Acc Chem Res	United States	Washington	American Chemical Society.	1968		Monthly	1520-4898	0001-4842	0001-4842	eng	N	2000.0	Y	Y	IM	http://pubs.acs.org/journals/achre4/index.html	Y	1520-4898
1254476	Accident; analysis and prevention	Accid Anal Prev	England	Oxford	Pergamon Press	1969		Bimonthly	1879-2057	0001-4575	0001-4575	eng	N	1985.0	Y	Y	IM	https://www.sciencedirect.com/journal/accident-analysis-and-prevention	Y	1879-2057
9100813	Accountability in research	Account Res	United States	London	Informa Healthcare	1989		Four no. a year	1545-5815	0898-9621	0898-9621	eng	N	2006.0	Y	Y	IM	http://www.tandfonline.com/loi/gacr20	Y	1545-5815
101729147	ACS applied bio materials	ACS Appl Bio Mater	United States	Washington, DC	ACS Publications	2018		Monthly	2576-6422		2576-6422	eng	N	2021.0	Y	Y	IM	https://pubs.acs.org/journal/aabmcb	Y	2576-6422
101504991	ACS applied materials & interfaces	ACS Appl Mater Interfaces	United States	Washington, D.C.	American Chemical Society	2009		Monthly	1944-8252	1944-8244	1944-8244	eng	N	2009.0	Y	Y	IM	http://pubs.acs.org/loi/aamick	Y	1944-8252
101654670	ACS biomaterials science & engineering	ACS Biomater Sci Eng	United States	Washington, DC	American Chemical Society	2015		Monthly	2373-9878		2373-9878	eng	N	2020.0	Y	Y	IM	https://pubs.acs.org/journal/abseba	Y	2373-9878
101282906	ACS chemical biology	ACS Chem Biol	United States	Washington, D.C.	American Chemical Society	2006		Monthly	1554-8937	1554-8929	1554-8929	eng	N	2006.0	Y	Y	IM	http://pubs.acs.org/journals/acbcct/index.html	Y	1554-8937
101525337	ACS chemical neuroscience	ACS Chem Neurosci	United States	Washington, D.C.	American Chemical Society	2010		Monthly	1948-7193		1948-7193	eng	N	2010.0	Y	Y	IM	http://pubs.acs.org/journal/acncdm	Y	1948-7193
101654580	ACS infectious diseases	ACS Infect Dis	United States	Washington, DC	ACS Publications	2015		Monthly	2373-8227		2373-8227	eng	N	2016.0	Y	Y	IM	http://pubs.acs.org/journal/aidcbc	Y	2373-8227
101574672	ACS macro letters	ACS Macro Lett	United States	Washington, D.C.	American Chemical Society	2012		Monthly	2161-1653		2161-1653	eng	N	2021.0	Y	Y	IM	https://pubs.acs.org/journal/amlccd	Y	2161-1653
101313589	ACS nano	ACS Nano	United States	Washington D.C.	American Chemical Society	2007		Monthly	1936-086X	1936-0851	1936-0851	eng	N	2007.0	Y	Y	IM	http://pubs.acs.org/journals/ancac3/index.html	Y	1936-086X
101669031	ACS sensors	ACS Sens	United States	Washington, DC	American Chemical Society	2016		Monthly	2379-3694		2379-3694	eng	N	2017.0	Y	Y	IM	http://pubs.acs.org/journal/ascefj	Y	2379-3694
101575075	ACS synthetic biology	ACS Synth Biol	United States	Washington, D.C.	American Chemical Society	2012		Monthly	2161-5063		2161-5063	eng	N	2012.0	Y	Y	IM	http://pubs.acs.org/journal/asbcd6	Y	2161-5063
0370270	Acta anaesthesiologica Scandinavica	Acta Anaesthesiol Scand	England	Oxford, UK	Wiley-Blackwell	1957		Ten no. a year,	1399-6576	0001-5172	0001-5172	eng	N	1965.0	Y	Y	IM	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1399-6576	Y	1399-6576
101206716	Acta biochimica et biophysica Sinica	Acta Biochim Biophys Sin (Shanghai)	China	Shanghai	China Science Publishing & Media Ltd.	2004		Monthly	1745-7270	1672-9145	1672-9145	eng	Y	2004.0	Y	Y	IM	https://academic.oup.com/abbs	Y	1745-7270
14520300R	Acta biochimica Polonica	Acta Biochim Pol	Poland	Warszawa	Panstwowe Wydawnictwo Naukowe	1954		Quarterly	1734-154X	0001-527X	0001-527X	mul	N	1965.0	Y	Y	IM	http://www.actabp.pl/	Y	1734-154X
101194794	Acta of bioengineering and biomechanics	Acta Bioeng Biomech	Poland	Wrocław	Oficyna Wydawnicza Politechniki Wrocławskiej	1999		Irregular		1509-409X	1509-409X	eng	N	2007.0	Y	Y	IM	http://www.actabio.pwr.wroc.pl/archive.php	Y	1509-409X
101233144	Acta biomaterialia	Acta Biomater	England	Kidlington, Oxford, UK	Elsevier	2005		Monthly,	1878-7568	1742-7061	1742-7061	eng	N	2005.0	Y	Y	IM	http://www.sciencedirect.com/science/journal/17427061	Y	1878-7568
101295064	Acta bio-medica : Atenei Parmensis	Acta Biomed	Italy	Fidenza, Parma	Mattioli 1885	2002		Three no. a year	2531-6745	0392-4203	0392-4203	eng	Y	2002.0	Y	Y	IM	http://www.mattioli1885journals.com/index.php/actabiomedica/issue/archive	Y	2531-6745
0421520	Acta biotheoretica	Acta Biotheor	Netherlands	Dordrecht	Springer	1935		Four no. a year	1572-8358	0001-5342	0001-5342	eng	N	1965.0	Y	Y	IM	https://link.springer.com/journal/10441	Y	1572-8358
0370570	Acta cardiologica	Acta Cardiol	England	London	Taylor & Francis	1946		Bimonthly	1784-973X	0001-5385	0001-5385	eng	N	1965.0	Y	Y	IM	http://www.tandfonline.com/loi/tacd20	Y	1784-973X
101247110	Acta chimica Slovenica	Acta Chim Slov	Slovenia	Ljubljana	Slovenian Chemical Society	1993		Quarterly	1580-3155	1318-0207	1318-0207	eng	N	2013.0	Y	Y	IM	https://journals.matheo.si/index.php/ACSi	Y	1580-3155
0370571	Acta chirurgica Belgica	Acta Chir Belg	England	London	Taylor & Francis	1946		Bimonthly		0001-5458	0001-5458	fre	N	1965.0	Y	Y	IM	http://www.tandfonline.com/loi/tacb20	Y	0001-5458
0407123	Acta chirurgiae orthopaedicae et traumatologiae Cechoslovaca	Acta Chir Orthop Traumatol Cech	Czech Republic	Praha	Scientia Medica	1950		Bimonthly		0001-5415	0001-5415	cze	N	1965.0	Y	Y	IM	http://www.achot.cz/vydanacisla.php	Y	0001-5415
0370301	Acta chirurgiae plasticae	Acta Chir Plast	Czech Republic	Praha	Galen Prague	1959		Four no. a year	1805-4404	0001-5423	0001-5423	eng	N	1965.0	Y	N	IM		Y	1805-4404
9103983	Acta cirúrgica brasileira	Acta Cir Bras	Brazil	Sao Paulo	Sociedade Brasileira Para O Desenvolvimento Da Pesquisa Em Cirurgia Curso De Pos-Graduacao Em Tecnica Operatoria E Cirurgia Experimental Escola Paulista De Medicina	1986		Quarterly	1678-2674	0102-8650	0102-8650	eng	N	2005.0	Y	Y	IM	http://www.scielo.br/scielo.php?script=sci_issues&pid=0102-8650&lng=en&nrm=iso	Y	1678-2674
0370306	Acta clinica Belgica	Acta Clin Belg	England	Abingdon	Taylor & Francis	1946		Six no. a year	2295-3337	1784-3286	1784-3286	eng	N	1965.0	Y	Y	IM	http://www.tandfonline.com/toc/yacb20/current	Y	2295-3337
9425483	Acta clinica Croatica	Acta Clin Croat	Croatia	Zagreb	Sestre Milosrdnice University Hospital, Institute for Clinical Medical Research	1991		Four no. a year	1333-9451	0353-9466	0353-9466	eng	N	2008.0	Y	Y	IM	http://hrcak.srce.hr/acta-clinica-croatica	Y	1333-9451
101620182	Acta crystallographica. Section A, Foundations and advances	Acta Crystallogr A Found Adv	United States	Malden, MA	John Wiley & Sons Ltd	2014		Bimonthly	2053-2733		2053-2733	eng	Y	2014.0	Y	Y	IM	http://journals.iucr.org/a/	Y	2053-2733
101609037	Acta crystallographica Section B, Structural science, crystal engineering and materials	Acta Crystallogr B Struct Sci Cryst Eng Mater	England	Oxford	Wiley-Blackwell	2013		Bimonthly	2052-5206	2052-5192	2052-5192	eng	Y	2013.0	Y	Y	IM	http://journals.iucr.org/b/	Y	2052-5206
101620313	Acta crystallographica. Section C, Structural chemistry	Acta Crystallogr C Struct Chem	England	Chester	International Union of Crystallography	2014		Monthly	2053-2296		2053-2296	eng	Y	2014.0	Y	Y	IM	http://onlinelibrary.wiley.com/journal/10.1107/S20532296	Y	2053-2296
101676043	Acta crystallographica. Section D, Structural biology	Acta Crystallogr D Struct Biol	United States	Medford, MA	John Wiley & Sons	2016		Monthly	2059-7983		2059-7983	eng	Y	2016.0	Y	Y	IM	http://journals.iucr.org/d/	Y	2059-7983
101620319	Acta crystallographica. Section F, Structural biology communications	Acta Crystallogr F Struct Biol Commun	United States	Malden, MA	John Wiley & Sons Inc.	2013		Monthly	2053-230X		2053-230X	eng	Y	2014.0	Y	Y	IM	http://journals.iucr.org/f/	Y	2053-230X
0370307	Acta cytologica	Acta Cytol	Switzerland	Basel	Karger	1957		Bimonthly,	1938-2650	0001-5547	0001-5547	eng	N	1964.0	Y	Y	IM	http://www.karger.com/acy	Y	1938-2650
0370310	Acta dermato-venereologica	Acta Derm Venereol	Sweden	Uppsala	Society for the Publication of Acta Dermato-Venereologica	1920		Annual,	1651-2057	0001-5555	0001-5555	eng	N	1965.0	Y	Y	IM	http://www.medicaljournals.se/acta/content/	Y	1651-2057
9422563	Acta dermatovenerologica Alpina, Pannonica, et Adriatica	Acta Dermatovenerol Alp Pannonica Adriat	Slovenia	Ljubljana	Združenje Slovenskih Dermatovenerologov	1992		Quarterly	1581-2979	1318-4458	1318-4458	eng	N	2005.0	Y	Y	IM	http://www.acta-apa.org/	Y	1581-2979
9433781	Acta dermatovenerologica Croatica : ADC	Acta Dermatovenerol Croat	Croatia	Zagreb	Croatian Dermatovenerological Society	1993		Four no. a year	1847-6538	1330-027X	1330-027X	hrv	N	2001.0	Y	Y	IM	http://adc.mef.hr/index.php/adc/issue/archive	Y	1847-6538
9200299	Acta diabetologica	Acta Diabetol	Germany	Berlin	Springer Verlag	1991		Four no. a year	1432-5233	0940-5429	0940-5429	eng	N	1991.0	Y	Y	IM	https://link.springer.com/journal/592	Y	1432-5233
0414075	Acta gastro-enterologica Belgica	Acta Gastroenterol Belg	Belgium	Wetteren, Belgium	Universa Press	1946		Four no. a year		1784-3227	1784-3227	eng	N	1965.0	Y	N	IM		Y	1784-3227
0141053	Acta haematologica	Acta Haematol	Switzerland	Basel	Karger.	1948		Eight no. a year	1421-9662	0001-5792	0001-5792	eng	N	1965.0	Y	Y	IM	http://www.karger.com/aha	Y	1421-9662
0370320	Acta histochemica	Acta Histochem	Germany	Jena	Gustav Fischer Verlag	1954		Six no. a year,	1618-0372	0065-1281	0065-1281	ger	N	1964.0	Y	Y	IM	https://www.sciencedirect.com/journal/acta-histochemica	Y	1618-0372
101587903	Acta medica academica	Acta Med Acad	Bosnia and Herzegovina	Sarajevo	Akademija nauka i umjetnosti Bosne i Hercegovine	2006		Three issues a year,	1840-2879	1840-1848	1840-1848	eng	N	2012.0	Y	Y	IM	http://www.ama.ba/index.php/ama/issue/archive	Y	1840-2879
101241032	Acta medico-historica adriatica : AMHA	Acta Med Hist Adriat	Croatia	Rijeka [Croatia]	Hrvatsko znanstveno društvo za povijest zdravstvene kulture	2003		Two no. a year	1334-6253	1334-4366	1334-4366	eng	N	2009.0	Y	Y	IM	http://hrcak.srce.hr/amha?lang=en	Y	1334-6253
7901042	Acta medica Indonesiana	Acta Med Indones	Indonesia	Jakarta, Indonesia	Indonesian Society of Internal Medicine	1968		Quarterly,		0125-9326	0125-9326	eng	N	2004.0	Y	Y	IM	http://www.actamedindones.org/index.php/ijim	Y	0125-9326
0417611	Acta medica Okayama	Acta Med Okayama	Japan	Okayama	Okayama University Medical School	1973		Six no. a year		0386-300X	0386-300X	eng	N	1973.0	Y	Y	IM	http://escholarship.lib.okayama-u.ac.jp/amo/	Y	0386-300X
7906803	Acta médica portuguesa	Acta Med Port	Portugal	Lisboa	Centro Editor Livreiro da Ordem dos Médicos	1979		Bimonthly,	1646-0758	0870-399X	0870-399X	eng	N	1979.0	Y	Y	IM	http://www.actamedicaportuguesa.com/	Y	1646-0758
9705947	Acta medica (Hradec Králové)	Acta Medica (Hradec Kralove)	Czech Republic	Hradec Kralove	Facultas Medica Hradec Kralove, Universitas Carolina	1996		Four no. a year	1805-9694	1211-4286	1211-4286	eng	Y	1996.0	Y	Y	IM	http://actamedica.lfhk.cuni.cz/	Y	1805-9694
9434021	Acta microbiologica et immunologica Hungarica	Acta Microbiol Immunol Hung	Hungary	Budapest	Akademiai Kiado	1994		Quarterly	1588-2640	1217-8950	1217-8950	eng	Y	1994.0	Y	Y	IM	https://akademiai.com/loi/030	Y	1588-2640
9811169	Acta myologica : myopathies and cardiomyopathies : official journal of the Mediterranean Society of Myology	Acta Myol	Italy	Napoli	Gaetano Conte Academy	1997		Three no. a year	2532-1900	1128-2460	1128-2460	eng	N	2003.0	Y	Y	IM	http://www.ncbi.nlm.nih.gov/pmc/journals/1221/	Y	2532-1900
1246675	Acta neurobiologiae experimentalis	Acta Neurobiol Exp (Wars)	Poland	Warsaw	Nencki Institute of Experimental Biology	1970		Quarterly	1689-0035	0065-1400	0065-1400	eng	N	1970.0	Y	Y	IM	http://www.ane.pl/archive.php	Y	1689-0035
0151000	Acta neurochirurgica	Acta Neurochir (Wien)	Austria	Wien	Springer.	1950		Twelve no. a year	0942-0940	0001-6268	0001-6268	eng	N	1965.0	Y	Y	IM	http://link.springer.com/journal/volumesAndIssues/701	Y	0942-0940
100962752	Acta neurochirurgica. Supplement	Acta Neurochir Suppl	Austria	Wien ;	Springer-Verlag	1994				0065-1419	0065-1419	eng	Y	1994.0	Y	N	IM		Y	0065-1419
0247035	Acta neurologica Belgica	Acta Neurol Belg	Italy	Milan	Springer	1970		Four no. a year	2240-2993	0300-9009	0300-9009	fre	N	1970.0	Y	Y	IM	http://link.springer.com/journal/volumesAndIssues/13760	Y	2240-2993
0370336	Acta neurologica Scandinavica	Acta Neurol Scand	Denmark	Copenhagen	Wiley-Blackwell	1961		Monthly	1600-0404	0001-6314	0001-6314	eng	N	1965.0	Y	Y	IM	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1600-0404	Y	1600-0404
9815355	Acta neurologica Taiwanica	Acta Neurol Taiwan	China (Republic : 1949- )	Taipei	Color Design	1996		Quarterly		1028-768X	1028-768X	eng	N	2004.0	Y	N	IM		Y	1028-768X
0412041	Acta neuropathologica	Acta Neuropathol	Germany	Berlin	Springer Verlag	1961		Monthly	1432-0533	0001-6322	0001-6322	eng	N	1965.0	Y	Y	IM	https://link.springer.com/journal/401	Y	1432-0533
101610673	Acta neuropathologica communications	Acta Neuropathol Commun	England	London	BioMed Central	2013			2051-5960		2051-5960	eng	N	2013.0	Y	Y	IM	http://www.actaneurocomms.org/	Y	2051-5960
9612501	Acta neuropsychiatrica	Acta Neuropsychiatr	England	Cambridge, United Kingdom	Cambridge University Press	1989		Bimonthly,	1601-5215	0924-2708	0924-2708	eng	N	2014.0	Y	Y	IM	http://journals.cambridge.org/action/displayBackIssues?jid=NEU	Y	1601-5215
0370343	Acta obstetricia et gynecologica Scandinavica	Acta Obstet Gynecol Scand	United States	Malden, MA	Wiley	1926		Twelve no. a year,	1600-0412	0001-6349	0001-6349	eng	N	1965.0	Y	Y	IM	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1600-0412	Y	1600-0412
8610218	Acta odontológica latinoamericana : AOL	Acta Odontol Latinoam	Argentina	Buenos Aires	Acta Odontologica Latinoamericana	1984		Two no. a year	1852-4834	0326-4815	0326-4815	eng	N	1984.0	Y	Y	D	http://www.scielo.org.ar/scielo.php?script=sci_issues&pid=1852-4834&lng=en&nrm=iso	Y	1852-4834
0370344	Acta odontologica Scandinavica	Acta Odontol Scand	England	Abingdon, Oxford	Taylor & Francis	1939		Six no. a year	1502-3850	0001-6357	0001-6357	eng	N	1963.0	Y	Y	IM	http://www.tandfonline.com/loi/iode20	Y	1502-3850
8709065	Acta oncologica (Stockholm, Sweden)	Acta Oncol	England	London	Informa Healthcare	1987		Eight no. a year,	1651-226X	0284-186X	0284-186X	eng	Y	1987.0	Y	Y	IM	http://www.tandfonline.com/loi/ionc20	Y	1651-226X
101468102	Acta ophthalmologica	Acta Ophthalmol	England	Oxford, UK	Wiley-Blackwell	2008		Eight no. a year	1755-3768	1755-375X	1755-375X	eng	Y	2008.0	Y	Y	IM	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1755-3768	Y	1755-3768
101231512	Acta orthopaedica	Acta Orthop	Sweden	Uppsala, Sweden	Medical Journals Sweden AB	2005		Annual,	1745-3682	1745-3674	1745-3674	eng	Y	2005.0	Y	Y	IM	http://www.tandfonline.com/loi/iort20	Y	1745-3682
2985165R	Acta orthopaedica Belgica	Acta Orthop Belg	Belgium	Bruxelles	Acta Medica Belgica	1946		Five no. a year,		0001-6462	0001-6462	fre	N	1965.0	Y	Y	IM	http://www.actaorthopaedica.be	Y	0001-6462
9424806	Acta orthopaedica et traumatologica turcica	Acta Orthop Traumatol Turc	Turkey	[Ankara, Turkey]	Turkish Association of Orthopaedics and Traumatology with publishing services by AVES	1962		Bimonthly,	2589-1294	1017-995X	1017-995X	eng	N	2002.0	Y	Y	IM	http://www.aott.org.tr/index.php/aott/issue/archive	Y	2589-1294
101190312	Acta ortopédica mexicana	Acta Ortop Mex	Mexico	México, D.F.	Sociedad Mexicana de Ortopedia	2002		Bimonthly		2306-4102	2306-4102	spa	N	2007.0	Y	N	IM		Y	2306-4102
0370354	Acta oto-laryngologica	Acta Otolaryngol	England	Abingdon, Oxford	Taylor & Francis	1918		Monthly,	1651-2251	0001-6489	0001-6489	eng	N	1965.0	Y	Y	IM	http://www.tandfonline.com/loi/ioto20	Y	1651-2251
8213019	Acta otorhinolaryngologica Italica : organo ufficiale della Società italiana di otorinolaringologia e chirurgia cervico-facciale	Acta Otorhinolaryngol Ital	Italy	[Pisa	Pacini editore	1981		Six no. a year	1827-675X	0392-100X	0392-100X	eng	N	1981.0	Y	Y	IM	http://preview.ncbi.nlm.nih.gov/pmc/journals/559/	Y	1827-675X
101770938	Acta otorrinolaringologica española	Acta Otorrinolaringol Esp (Engl Ed)	Spain	Madrid	Elsevier España	2004		Six issues yearly,	2173-5735		2173-5735	eng	N	2018.0	Y	Y	IM	https://www.sciencedirect.com/journal/acta-otorrinolaringologica-english-edition	Y	2173-5735
9205968	Acta paediatrica (Oslo, Norway : 1992)	Acta Paediatr	Norway	Oslo	Wiley-Blackwell	1992		Monthly	1651-2227	0803-5253	0803-5253	eng	N	1992.0	Y	Y	IM	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1651-2227	Y	1651-2227
9301947	Acta parasitologica	Acta Parasitol	Switzerland	Cham	Springer International Publishing	1992		Quarterly	1896-1851	1230-2821	1230-2821	eng	N	2012.0	Y	Y	IM	https://link.springer.com/journal/11686	Y	1896-1851
9303678	Acta pharmaceutica (Zagreb, Croatia)	Acta Pharm	Poland	Warsaw, Poland	Sciendo	1992		Quarterly	1846-9558	1330-0075	1330-0075	eng	N	2003.0	Y	Y	IM	https://sciendo.com/journal/ACPH	Y	1846-9558
100956087	Acta pharmacologica Sinica	Acta Pharmacol Sin	United States	New York	Nature Publishing Group	2000		Monthly	1745-7254	1671-4083	1671-4083	eng	Y	2000.0	Y	Y	IM	http://www.nature.com/aps/archive/index.html	Y	1745-7254
101262545	Acta physiologica (Oxford, England)	Acta Physiol (Oxf)	England	Oxford	Wiley-Blackwell	2006		Monthly	1748-1716	1748-1708	1748-1708	eng	Y	2006.0	Y	Y	IM	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1748-1716	Y	1748-1716
0370364	Acta psychiatrica Scandinavica	Acta Psychiatr Scand	United States	Malden, MA	Wiley-Blackwell	1961		Monthly,	1600-0447	0001-690X	0001-690X	eng	N	1965.0	Y	Y	IM	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1600-0447	Y	1600-0447
0370365	Acta psychiatrica Scandinavica. Supplementum	Acta Psychiatr Scand Suppl	Denmark	Malden, MA	Wiley-Blackwell	1961		Irregular	1600-5473	0065-1591	0065-1591	eng	N	1965.0	Y	Y	IM	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1600-0447	Y	1600-5473
0370366	Acta psychologica	Acta Psychol (Amst)	Netherlands	Amsterdam	North Holland Publishing	1935		Nine no. a year	1873-6297	0001-6918	0001-6918	eng	N	1965.0	Y	Y	IM	http://www.sciencedirect.com/science/journal/00016918	Y	1873-6297
8706123	Acta radiologica (Stockholm, Sweden : 1987)	Acta Radiol	England	London	Sage	1987		Ten no. a year,	1600-0455	0284-1851	0284-1851	eng	Y	1987.0	Y	Y	IM	http://journals.sagepub.com/home/acr	Y	1600-0455
101295615	Acta scientiarum polonorum. Technologia alimentaria	Acta Sci Pol Technol Aliment	Poland	Poznań	Wydawnictwo Uniwersytetu Przyrodniczego w Poznaniu	2002		Four issues a year,	1898-9594	1644-0730	1644-0730	eng	N	2011.0	Y	Y	IM	http://www.food.actapol.net/en/main	Y	1898-9594
0370374	Acta tropica	Acta Trop	Netherlands	Amsterdam	Elsevier	1944		Twelve no. a year,	1873-6254	0001-706X	0001-706X	eng	N	1965.0	Y	Y	IM	https://www.sciencedirect.com/journal/acta-tropica	Y	1873-6254
8406376	Acta veterinaria Hungarica	Acta Vet Hung	Hungary	Budapest	Akademiai Kiado	1983		Quarterly		0236-6290	0236-6290	eng	N	1983.0	Y	Y	IM	https://akademiai.com/loi/004	Y	0236-6290
0370400	Acta veterinaria Scandinavica	Acta Vet Scand	England	London	BioMed Central	1959		Quarterly	1751-0147	0044-605X	0044-605X	eng	N	1965.0	Y	Y	IM	http://www.actavetscand.com/	Y	1751-0147
0370401	Acta virologica	Acta Virol	Slovakia	Bratislava, Slovak Republic	AEPress, Ltd	1957		Quarterly,	1336-2305	0001-723X	0001-723X	eng	N	1965.0	Y	N	IM		Y	1336-2305
0373062	Actas dermo-sifiliográficas	Actas Dermosifiliogr	Spain	Madrid	Elsevier España	1909		Ten no. a year,	1578-2190	0001-7310	0001-7310	eng	N	1964.0	Y	Y	IM	http://www.sciencedirect.com/science/journal/00017310	Y	1578-2190
100886502	Actas españolas de psiquiatría	Actas Esp Psiquiatr	Spain	Zaragoza, Spain	Fundación Juan José López-Ibor	1999		Bimonthly	1578-2735	1139-9287	1139-9287	spa	Y	1999.0	Y	Y	IM	http://actaspsiquiatria.es/index.php	Y	1578-2735
101771154	Actas urologicas españolas	Actas Urol Esp (Engl Ed)	Spain	Madrid	Elsevier España	200u		Ten issues yearly	2173-5786		2173-5786	eng	N	2018.0	Y	Y	IM	https://www.sciencedirect.com/journal/actas-urologicas-espanolas-english-edition	Y	2173-5786
9304117	Acupuncture in medicine : journal of the British Medical Acupuncture Society	Acupunct Med	England	[London]	SAGE Publications	1983		Semiannual	1759-9873	0964-5284	0964-5284	eng	N	2001.0	Y	Y	IM	http://aim.bmj.com/content/by/year	Y	1759-9873
101553725	Acute medicine	Acute Med	England	London	Rila	2005		Three issues yearly	1747-4892	1747-4884	1747-4884	eng	N	2011.0	Y	Y	IM	http://acutemedjournal.co.uk/journal/	Y	1747-4892
8701671	Adapted physical activity quarterly : APAQ	Adapt Phys Activ Q	United States	Champaign, IL	Human Kinetics Publishers	1984		Quarterly	1543-2777	0736-5829	0736-5829	eng	N	2007.0	Y	Y	IM	http://journals.humankinetics.com/loi/apaq	Y	1543-2777
7603486	Addictive behaviors	Addict Behav	England	Oxford	Elsevier Science	1975		Nine no. a year,	1873-6327	0306-4603	0306-4603	eng	N	1977.0	Y	Y	IM	https://www.sciencedirect.com/journal/addictive-behaviors	Y	1873-6327
9604935	Addiction biology	Addict Biol	United States	Hoboken, NJ	Wiley-Blackwell	1996		Four no. a year	1369-1600	1355-6215	1355-6215	eng	N	2002.0	Y	Y	IM	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1369-1600	Y	1369-1600
101316917	Addiction science & clinical practice	Addict Sci Clin Pract	England	London	BioMed Central	2007		Irregular,	1940-0640	1940-0632	1940-0632	eng	Y	2007.0	Y	Y	IM	http://www.ascpjournal.org/	Y	1940-0640
9304118	Addiction (Abingdon, England)	Addiction	England	Oxford	Wiley-Blackwell	1993		Monthly	1360-0443	0965-2140	0965-2140	eng	N	1993.0	Y	Y	IM	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1360-0443	Y	1360-0443
