NlmUniqueID	BroadJournalHeading	sherpa_oa	embargo	sherpa_oa_green	additional_oa_fee	sherpa_oa_hybrid	DOAJ_Seal	DOAJ	Reverse_Flip	flipped_embargo	flipped_access_model	flipped_born_oa
101770938	Otolaryngology	yes	12.0	yes	yes	yes						
9205968	Pediatrics	yes	12.0	yes	yes	yes						
0372634	Pediatrics											
0372635	Pediatrics											
8307729	Pediatrics											
0370357	Pediatrics											
0000211	Pediatrics											
0173166	Pediatrics											
9315043	Pediatrics											
100958202	Pediatrics											
0400661	Psychiatry											
9301947	Parasitology	yes	12.0	yes	yes	yes						
0372637	Pathology											
8206622	Pathology											
8206623	Microbiology											
8206624	Allergy and Immunology											
8211441	Allergy and Immunology											
8211441	Microbiology											
8211441	Pathology											
7508471	Microbiology											
7508471	Pathology											
7508468	Pathology											
7508472	Microbiology											
7508470	Allergy and Immunology											
7508470	Microbiology											
7508469	Allergy and Immunology											
8211440	Microbiology											
8211440	Pathology											
9303678	Pharmacology	yes	0.0	yes			No	yes				
0414322	Pharmacology											
8915967	Pharmacy											
0000216	Pharmacy											
100956087	Pharmacology	yes	6.0	yes	yes	yes			yes	12.0	Subscription	0.0
0370572	Pharmacology											
0370572	Toxicology											
101262545	Physiology	yes	12.0	yes	yes	yes						
0371156	Physiology											
8309201	Physiology											
0060610	Physiology											
7512568	Pharmacology											
7512568	Physiology											
8409686	Pharmacology											
8409686	Physiology											
14610130R	Pharmacology											
9200300	Pharmacology											
9200300	Physiology											
9200300	Therapeutics											
2985166R	Physiology											
0370362	Physiology											
0376307	Physiology											
2985167R	Pharmacology											
0373060	Psychiatry											
0373060	Psychology											
0247037	Psychiatry											
0370364	Psychiatry	yes	12.0	yes	yes	yes						
0370365	Psychiatry											
0370366	Psychology	yes	0.0	yes			No	yes				
8706123	Radiology	yes	0.0	yes	yes	yes						
0370367	Radiology											
8209606	Biology											
8209606	Biophysics											
8209606	Neoplasms											
8209606	Radiology											
8209606	Radiotherapy											
7805897	Biology											
7805897	Biophysics											
7805897	Neoplasms											
7805897	Physics											
7805897	Radiology											
101470759	Biology											
101470759	Biophysics											
101470759	Neoplasms											
101470759	Physics											
101470759	Radiotherapy											
0370370	Radiology											
101470699	Radiology											
0000201	Biology											
0000201	Nuclear Medicine											
0000201	Physics											
0000201	Radiology											
0431702	Rheumatology											
0321403	Rheumatology											
7908064	Rheumatology											
7903226	Rheumatology											
7611898	Medicine											
101295615	Nutritional Sciences											
0332127	Medicine											
2985168R	Epidemiology											
2985168R	Social Sciences											
0414076	Epidemiology											
0414076	Social Sciences											
0421026	Dentistry											
0253456	Dentistry											
0314001	Biology											
0314001	Reproductive Medicine											
0314001	Veterinary Medicine											
0370374	Tropical Medicine	yes	12.0	yes	yes	yes						
7611896	Tropical Medicine											
0157725	Pulmonary Medicine											
0370376	Pulmonary Medicine											
0064362	Medicine											
2985169R	Medicine											
0177667	Medicine											
0363112	Medicine											
0377045	Urology											
14620020R	Reproductive Medicine											
14620020R	Veterinary Medicine											
0370377	Veterinary Medicine											
8406376	Veterinary Medicine	yes	0.0	yes	yes	yes						
0370400	Veterinary Medicine	yes	0.0	yes			Yes	yes				
0061331	Veterinary Medicine											
0370401	Virology											
0134541	Metabolism											
0134541	Pharmacology											
0135063	Metabolism											
0100314	Biology											
0100314	Pathology											
0373062	Dermatology											
0373062	Sexually Transmitted Diseases											
101777537	Dermatology											
101777537	Sexually Transmitted Diseases											
100886502	Psychiatry											
0355646	Medicine											
0355573	Neurology											
0355573	Psychiatry											
7704993	Urology											
101771154	Urology	yes	12.0	yes								
0143027	Cardiology											
0370405	Endocrinology											
0264367	Gastroenterology											
7513548	Neurology											
7513548	Physiology											
9614683	Dentistry											
0370406	Dentistry											
0370407	Pharmacology											
7611901	Anatomy											
7611901	Physiology											
7610364	Complementary Therapies											
9304117	Complementary Therapies	yes	0.0	yes	yes	yes						
101276603	Cardiology											
8412026	Health Services											
101553725	Medicine											
8704179	Nursing											
8701671	Physiology	yes	0.0	yes	yes	yes						
8701671	Sports Medicine	yes	0.0	yes	yes	yes						
7603486	Behavioral Sciences	yes	18.0	yes	yes	yes						
7603486	Substance-Related Disorders	yes	18.0	yes	yes	yes						
9604935	Substance-Related Disorders	yes	12.0	yes	yes	yes						
0425064	Substance-Related Disorders											
101316917	Substance-Related Disorders	yes	0.0	yes			Yes	yes				
9304118	Substance-Related Disorders	yes	12.0	yes	yes	yes						
9605506	Substance-Related Disorders											
101567863	Cell Biology	yes	0.0	yes			No	yes				
101567863	Metabolism	yes	0.0	yes			No	yes				
101567863	Physiology	yes	0.0	yes			No	yes				
8712346	Dentistry											
0370411	Dentistry											
0361564	Health Services											
0361564	Psychiatry											
8914574	Health Services	yes	12.0	yes	yes	yes						
8914574	Psychology	yes	12.0	yes	yes	yes						
9702245	Radiology											
8812074	Hospitals											
9006270	Pediatrics											
101196463	Pediatrics											
101314248	Pediatrics											
1302147	Pediatrics											
1302147	Psychiatry											
0123667	Pediatrics											
8107172	Substance-Related Disorders											
0407712	Anatomy											
0407712	Cell Biology											
0407712	Embryology											
9435676	Anatomy											
9435676	Pathology											
8409340	Anesthesiology	yes	12.0	yes	yes	yes						
0370413	Microbiology											
1304163	Psychology											
1304163	Reproductive Medicine											
8307733	Biochemistry											
8307733	Biotechnology											
0211233	Biochemistry											
0211233	Psychopharmacology											
101775319	Biomedical Engineering	yes	12.0	yes	yes	yes						
101775319	Biotechnology	yes	12.0	yes	yes	yes						
0370414	Biophysics											
0370414	Physics											
101572336	Biochemistry	yes	12.0	yes	yes	yes						
101572336	Molecular Biology	yes	12.0	yes	yes	yes						
0426664	Dermatology											
0426664	Sexually Transmitted Diseases											
7611904	Biomedical Engineering											
7611904	Biophysics											
7611904	Physics											
0262476	Biophysics											
0225721	Biology											
0225721	Reproductive Medicine											
101711718	Biomedical Engineering											
101711718	Biotechnology											
8305187	Biotechnology											
0370416	Neoplasms											
0240537	Biochemistry											
0240537	Chemistry											
0240537	Metabolism											
9007186	Cardiology											
9007186	General Surgery											
0270063	Cardiology											
0235424	Anatomy											
0235424	Biochemistry											
0236562	Medicine											
0370417	Behavioral Sciences											
0370417	Pediatrics											
0121020	Chemistry Techniques, Analytical											
101209214	Nephrology	yes	12.0	yes	yes	yes						
8912856	Nursing											
2985173R	Chemistry, Clinical											
101138582	Medicine						No	yes				
9709997	Pathology											
0430232	Pharmacology											
8809051	Physical and Rehabilitation Medicine											
8706645	Chemistry	yes	12.0	yes	yes	yes						
0370422	Biochemistry											
0370422	Physiology											
8607435	Family Planning Services											
8404639	Biochemistry											
0341362	Biochemistry											
1301733	Pharmacology											
7703830	Statistics as Topic											
7703830	Vital Statistics											
8802131	Dentistry											
8606032	Dermatology											
8710523	Drug Therapy	yes	12.0	yes	yes	yes						
8710523	Pharmacology	yes	12.0	yes	yes	yes						
0040021	Pharmacology											
101285075	Emergency Medicine											
101285075	Nursing											
9102501	Endocrinology											
9102501	Metabolism											
0044263	Biochemistry											
0337243	Biochemistry											
0337243	Molecular Biology											
0121103	Biology	yes	12.0	yes								
0121103	Medicine	yes	12.0	yes								
14630160R	Dentistry											
9001271	Nutritional Sciences											
0370423	Nutritional Sciences											
0221542	Nutritional Sciences											
0370421	Genetics, Medical											
100971443	Geriatrics											
0436264	Geriatrics											
101090746	Health Services											
8206631	Health Services Research											
9612021	Education	yes	12.0	yes	yes	yes						
9612021	Public Health	yes	12.0	yes	yes	yes						
101581613	Biomedical Engineering	yes	12.0	yes	yes	yes						
101581613	Technology	yes	12.0	yes	yes	yes						
0370424	Chemistry											
1256347	Genetics, Medical											
8601071	Allergy and Immunology											
8601071	Neoplasms											
0370425	Allergy and Immunology											
7909203	Biochemistry											
0370427	Internal Medicine											
100960029	Behavioral Sciences											
100960029	Social Sciences											
0000262	Biochemistry											
0370431	Biology											
9885358	Biophysics	yes	12.0	yes	yes	yes						
9885358	Chemistry	yes	12.0	yes	yes	yes						
101276222	Medicine	yes	12.0	yes	yes	yes						
0370430	Metabolism											
0117147	Microbiology											
9813115	Complementary Therapies											
7611906	Anatomy											
8000285	Cardiology											
101125644	Perinatology	yes	12.0	yes	yes	yes						
0311622	Nephrology											
101571545	Neurology											
9108376	Allergy and Immunology											
0367524	Neurology											
101549550	Nursing											
9892010	Nursing											
101540874	Nutritional Sciences	yes	12.0	yes	yes	yes						
7802764	Nutritional Sciences											
8213022	General Surgery											
8213022	Ophthalmology											
0263212	Ophthalmology											
0000261	Dentistry											
0242534	Otolaryngology											
0370435	Parasitology											
7511090	Pathology											
0370436	Pediatrics	yes	12.0	yes	yes	yes						
8803391	Communicable Diseases											
8803391	Pediatrics											
9104803	Nephrology											
0040024	Pharmacy											
0236563	Pharmacology											
9015397	Pharmacology											
0237113	Drug Therapy											
0237113	Pharmacology											
100913944	Education	yes	12.0	yes	yes	yes						
100913944	Physiology	yes	12.0	yes	yes	yes						
7513751	Reproductive Medicine											
9515177	Nursing											
9442478	Nursing											
8211444	Endocrinology											
7610366	Biochemistry											
0116732	Biochemistry											
101497281	Biochemistry											
101497281	Biology											
0337407	Biology											
0337407	Psychology											
0101303	Psychiatry											
9433799	Nephrology											
7513188	Reproductive Medicine											
101697329	Allergy and Immunology	yes	0.0	yes								
101697329	Pulmonary Medicine	yes	0.0	yes								
101734172	Rheumatology	yes	0.0	yes			No	yes				
0370412	Science											
101664569	Biomedical Engineering	yes	0.0	yes			No	yes				
8807408	Biochemistry											
8807408	Metabolism											
7504908	Endocrinology											
7504908	Reproductive Medicine											
7908298	Traumatology											
100911021	Nursing	yes	12.0	yes	yes	yes						
0410245	Dentistry											
9316462	Aerospace Medicine											
9316462	Biology											
9878935	Aerospace Medicine											
1251746	Biochemistry											
1251746	Pharmacology											
0045335	General Surgery	yes	12.0	yes	yes	yes						
7501064	Neurosurgery											
8611864	Therapeutics	yes	12.0	yes	yes	yes						
0347575	Pulmonary Medicine											
9714525	Veterinary Medicine											
0216704	Veterinary Medicine											
0216540	Veterinary Medicine											
0370441	Virology											
9432971	Nursing											
101590593	Traumatology	yes	0.0	yes	yes	yes						
8217118	Toxicology											
9109474	Toxicology											
0373063	Aerospace Medicine											
100971388	Aerospace Medicine											
7501696	Aerospace Medicine											
101654770	Aerospace Medicine											
9707469	General Surgery	yes	12.0	yes	yes	yes						
7701756	General Surgery	yes	12.0	yes								
8813229	Dentistry											
101149451	Health Services											
101149451	Medicine											
101146510	Acquired Immunodeficiency Syndrome	yes	0.0	yes								
9439497	Medicine											
7801013	Medicine											
7801013	Tropical Medicine											
7611908	Medicine											
101255062	General Surgery	yes	0.0	yes			No	yes				
101255062	Pediatrics	yes	0.0	yes			No	yes				
101520860	Primary Health Care	yes	0.0	yes			Yes	yes				
7802295	Psychiatry											
101465030	Psychiatry											
9712263	Reproductive Medicine											
101232990	Complementary Therapies											
101250497	Geriatrics											
0375655	Geriatrics	yes	12.0	yes	yes	yes						
101128963	Geriatrics	yes	12.0	yes	yes	yes						
0213341	Pharmacology											
7801014	Pharmacology											
7502265	Behavioral Sciences	yes	12.0	yes	yes	yes						
101508617	Geriatrics	yes	0.0	yes								
9102503	Geriatrics											
101130839	Cell Biology	yes	0.0	yes			No	yes				
101132995	Geriatrics	yes	12.0	yes	yes	yes						
7910857	Geriatrics											
9808210	Geriatrics	yes	0.0	yes			No	yes				
9705773	Geriatrics	yes	12.0	yes	yes	yes						
9705773	Psychology	yes	12.0	yes	yes	yes						
101128131	Geriatrics											
0321470	Nursing											
0121575	Psychophysiology											
9426197	Neurology											
9426197	Psychophysiology											
0370452	Biochemistry											
0370452	Biotechnology											
101223105	Health Services											
2985175R	Nursing											
101138795	Health Services											
101138795	Hospitals											
9424852	Neoplasms											
7501066	Dentistry											
9206301	Dentistry											
8710219	Acquired Immunodeficiency Syndrome	yes	12.0	yes	yes	yes						
101129445	Acquired Immunodeficiency Syndrome											
101129445	Public Health											
9014916	Acquired Immunodeficiency Syndrome											
8608900	Acquired Immunodeficiency Syndrome											
9712133	Acquired Immunodeficiency Syndrome	yes	12.0	yes	yes	yes						
9712133	Behavioral Sciences	yes	12.0	yes	yes	yes						
8915313	Acquired Immunodeficiency Syndrome	yes	12.0	yes	yes	yes						
9000367	Acquired Immunodeficiency Syndrome											
8914235	Acquired Immunodeficiency Syndrome											
9002873	Acquired Immunodeficiency Syndrome											
9002873	Education											
8812089	Acquired Immunodeficiency Syndrome											
9508188	Acquired Immunodeficiency Syndrome											
9508188	Jurisprudence											
8710781	Acquired Immunodeficiency Syndrome											
9607225	Acquired Immunodeficiency Syndrome	yes	0.0	yes	yes	yes						
9607225	Sexually Transmitted Diseases	yes	0.0	yes	yes	yes						
8703425	Acquired Immunodeficiency Syndrome											
8703425	Jurisprudence											
8703425	Public Health											
8708548	Acquired Immunodeficiency Syndrome											
8708548	Public Health											
9206753	Acquired Immunodeficiency Syndrome											
8310361	Acquired Immunodeficiency Syndrome											
8310361	Sexually Transmitted Diseases											
8709376	Acquired Immunodeficiency Syndrome	yes	0.0	yes	yes	yes						
101237921	Acquired Immunodeficiency Syndrome	yes	0.0	yes			Yes	yes				
101134876	Acquired Immunodeficiency Syndrome											
8809835	Acquired Immunodeficiency Syndrome											
101146781	Environmental Health											
101146781	Occupational Medicine											
100939625	Occupational Medicine											
9312325	Aerospace Medicine	yes	12.0	yes	yes	yes						
9312325	Emergency Medicine	yes	12.0	yes	yes	yes						
9433394	Environmental Health											
0101051	Medicine											
8003708	Neurology	yes	0.0	yes	yes	yes						
8003708	Radiology	yes	0.0	yes	yes	yes						
101631047	Ethics	yes	12.0	yes	yes	yes						
101631047	Medicine	yes	12.0	yes	yes	yes						
101518076	Ethics	yes	12.0	yes	yes	yes						
101518076	Neurology	yes	12.0	yes	yes	yes						
7708173	Radiology											
0234014	History of Medicine											
0234014	Social Sciences											
0421403	Geriatrics											
0177222	Otolaryngology											
0267464	General Surgery											
7705398	General Surgery											
7705398	Orthopedics											
9102962	Diagnostic Imaging											
0421405	Traumatology											
0421406	Urology	yes	12.0	yes	yes	yes						
0370456	Gynecology											
0370456	Obstetrics											
0370455	Gynecology											
0370455	Obstetrics											
0376521	Medicine											
8310343	Medicine											
14720150R	Nursing											
0370457	Medicine											
0042336	Nursing											
9892402	Jurisprudence											
0044637	Ophthalmology											
8502311	Substance-Related Disorders	yes	12.0	yes	yes	yes						
8310684	Substance-Related Disorders	yes	12.0	yes	yes	yes						
8804836	Substance-Related Disorders											
7707242	Substance-Related Disorders	yes	12.0	yes	yes	yes						
8601074	Substance-Related Disorders											
0365245	Substance-Related Disorders											
101594475	Substance-Related Disorders											
100900708	Substance-Related Disorders											
0140326	Allergy and Immunology											
8707234	Drug Therapy	yes	12.0	yes	yes	yes						
8707234	Gastroenterology	yes	12.0	yes	yes	yes						
8707234	Pharmacology	yes	12.0	yes	yes	yes						
0064233	Gastroenterology											
0064233	Nutritional Sciences											
9812842	Biology											
9812842	Chemistry											
0313664	Allergy and Immunology											
0313664	Pulmonary Medicine											
0370461	Allergy and Immunology											
0370461	Pulmonary Medicine											
0314702	Allergy and Immunology											
0245775	Allergy and Immunology											
0370073	Allergy and Immunology	yes	0.0	yes								
9616296	Allergy and Immunology	yes	0.0	yes			No	yes				
7804028	Allergy and Immunology	yes	12.0	yes	yes	yes						
9603640	Allergy and Immunology											
9603640	Pulmonary Medicine											
8902396	Allergy and Immunology											
14730200R	Dentistry											
14730480R	Dentistry											
100883278	Nursing											
1307126	Geriatrics											
1307126	Physiology											
8110074	Laboratory Animal Science	yes	0.0	yes	yes	yes						
9705340	Complementary Therapies											
9502013	Complementary Therapies											
100953980	Laboratory Animal Science	yes	0.0	yes			No	yes				
7706527	Nursing											
0042365	Nursing											
7604908	Dentistry											
21430160R	Dentistry											
7705977	Nursing											
8504267	Nursing											
8704771	Neurology	yes	12.0	yes	yes	yes						
8704771	Psychiatry	yes	12.0	yes	yes	yes						
101231978	Neurology	yes	12.0	yes	yes	yes						
101231978	Psychiatry	yes	12.0	yes	yes	yes						
101511643	Neurology	yes	0.0	yes			Yes	yes				
0414670	Audiology	yes	12.0	yes								
14740240R	History of Medicine											
7501070	Occupational Medicine											
8804377	Biotechnology											
8903666	Clinical Laboratory Techniques											
0135256	Physical and Rehabilitation Medicine											
9878837	Health Services											
9878837	Public Health											
14810500R	Health Services											
1272646	Primary Health Care											
1273362	Primary Health Care											
101156064	Cardiology											
101156064	Hospitals											
0370465	Cardiology	yes	12.0	yes	yes	yes						
8801250	History of Medicine											
8801250	Technology											
01210290R	History of Medicine											
0370466	Psychiatry											
0371160	Occupational Medicine											
100970957	Psychology											
8909511	Psychiatry											
9314637	Psychiatry											
0367526	Complementary Therapies											
9208821	Substance-Related Disorders	yes	12.0	yes	yes	yes						
101082834	Neurology	yes	0.0	yes			No	yes				
0376312	Anatomy											
9504685	Anesthesiology											
9114917	Audiology	yes	0.0	yes	yes	yes						
100898738	Ethics	yes	12.0	yes	yes	yes						
0370467	Botany	yes	12.0	yes	yes	yes						
8706659	Cardiology											
8706659	Diagnostic Imaging											
0207277	Cardiology	yes	12.0	yes	yes	yes						
100967755	Cardiology	yes	12.0	yes	yes	yes						
100967755	Drug Therapy	yes	12.0	yes	yes	yes						
100967755	Vascular Diseases	yes	12.0	yes	yes	yes						
8702438	Cardiology											
8702438	Pathology											
101489566	Medicine											
7901431	Complementary Therapies	yes	0.0	yes	yes	yes						
0354717	Medicine											
100895290	Dermatology	yes	12.0	yes	yes	yes						
0100626	Psychology	yes	12.0	yes	yes	yes						
0100626	Therapeutics	yes	12.0	yes	yes	yes						
0376027	Nutritional Sciences	yes	12.0	yes	yes	yes						
8207754	Neoplasms											
0370470	Pathology	yes	12.0	yes	yes	yes						
0364535	Psychology	yes	24.0	yes	yes	yes						
9100472	Dermatology											
9211547	Critical Care	yes										
9211547	Nursing	yes										
8806701	Dentistry											
7911005	Dermatology	yes	12.0	yes	yes	yes						
7911005	Pathology	yes	12.0	yes	yes	yes						
0404011	Gastroenterology											
0370471	Pediatrics											
101291100	Disaster Medicine											
7502510	Substance-Related Disorders	yes	12.0	yes	yes	yes						
9607038	Neurology											
8309942	Emergency Medicine	yes	12.0	yes	yes	yes						
7910653	Epidemiology	yes	12.0	yes	yes	yes						
8108948	Forensic Sciences	yes	12.0	yes	yes	yes						
8108948	Jurisprudence	yes	12.0	yes	yes	yes						
8108948	Pathology	yes	12.0	yes	yes	yes						
0421030	Gastroenterology	yes	12.0	yes	yes	yes						
9215283	Cardiology											
9215283	Geriatrics											
101190325	Drug Therapy											
101190325	Geriatrics											
9309609	Geriatrics	yes	12.0	yes	yes	yes						
9309609	Psychiatry	yes	12.0	yes	yes	yes						
9602338	Behavioral Sciences	yes			yes	yes						
8701680	Public Health	yes	0.0	yes	yes	yes						
9503023	Hospitals	yes	12.0	yes	yes	yes						
9503023	Pharmacy	yes	12.0	yes	yes	yes						
