NlmUniqueID	Title	MedlineTA	Country	Place	Publisher	PublicationFirstYear	PublicationEndYear	Frequency	ISSN-Electronic	ISSN-Print	ISSN-Linking	Language	TitleContinuationYN	IndexingStartDate	CurrentlyIndexedYN	IndexOnlineYN	IndexingSubset	IndexingSelectedURL	ReportedMedlineYN	ISSN	sherpa_oa	embargo	sherpa_oa_green	additional_oa_fee	sherpa_oa_hybrid	title_sherpa	issne_sherpa	issnp_sherpa	url	publisher_id	publisher_country	publisher_type	publisher_url	publisher_name	sherpa_id	sherpa_uri	ISSN_old_x	DOAJ_pissn	ISSN_old_y	DOAJ_title	DOAJ_eissn	DOAJ_Seal	DOAJ_date	DOAJ_year	DOAJ	year_founded	year_reverse_flipped	journal_location	society_affiliation	other_sci_affiliation	flipped_journal_name	post_flip_publisher	flipped_access_model	apc_pre	apc_post	apc_now	discipline	flipped_oa	flipped_born_oa	flipped_embargo	Reverse_Flip
8917200	Academic psychiatry : the journal of the American Association of Directors of Psychiatric Residency Training and the Association for Academic Psychiatry	Acad Psychiatry	United States	New York, NY	Springer	1989		Quarterly	1545-7230	1042-9670	1042-9670	eng	N	2003.0	Y	Y	IM	http://link.springer.com/journal/volumesAndIssues/40596	Y	1545-7230	yes	12.0	yes	yes	yes	Academic Psychiatry	1545-7230	1042-9670	http://link.springer.com/journal/40596	3291.0	gb	commercial_publisher	https://www.springernature.com/gp/products/journals	Springer	27949.0	https://v2.sherpa.ac.uk/id/publisher_policy/3291																									
9440159	Academic radiology	Acad Radiol	United States	Reston Va	Association Of University Radiologists	1994		Monthly	1878-4046	1076-6332	1076-6332	eng	N	1996.0	Y	Y	IM	http://www.sciencedirect.com/science/journal/10766332	Y	1878-4046	yes	12.0	yes	yes	yes	Academic Radiology		1076-6332	https://www.journals.elsevier.com/academic-radiology	30.0	us	commercial_publisher	http://www.elsevier.com/	Elsevier	1716.0	https://v2.sherpa.ac.uk/id/publisher_policy/2823																									
0157313	Accounts of chemical research	Acc Chem Res	United States	Washington	American Chemical Society.	1968		Monthly	1520-4898	0001-4842	0001-4842	eng	N	2000.0	Y	Y	IM	http://pubs.acs.org/journals/achre4/index.html	Y	1520-4898	yes	12.0	yes	yes	yes	Accounts of Chemical Research	1520-4898	0001-4842	http://pubs.acs.org/journal/achre4	4.0	us	society_publisher	http://pubs.acs.org/	American Chemical Society	7760.0	https://v2.sherpa.ac.uk/id/publisher_policy/4																									
1254476	Accident; analysis and prevention	Accid Anal Prev	England	Oxford	Pergamon Press	1969		Bimonthly	1879-2057	0001-4575	0001-4575	eng	N	1985.0	Y	Y	IM	http://www.sciencedirect.com/science/journal/00014575	Y	1879-2057	yes	12.0	yes	yes	yes	Accident Analysis & Prevention		0001-4575	https://www.journals.elsevier.com/accident-analysis-and-prevention	30.0	us	commercial_publisher	http://www.elsevier.com/	Elsevier	165.0	https://v2.sherpa.ac.uk/id/publisher_policy/2944																									
9100813	Accountability in research	Account Res	United States	London	Informa Healthcare	1989		Four no. a year	1545-5815	0898-9621	0898-9621	eng	N	2006.0	Y	Y	IM	http://www.tandfonline.com/loi/gacr20	Y	1545-5815	yes	12.0	yes	yes	yes	Accountability in Research: Policies and Quality Assurance	1545-5815	0898-9621	https://www.tandfonline.com/journals/GACR	62039.0	gb	commercial_publisher	https://taylorandfrancis.com/	Taylor and Francis Group	288.0	https://v2.sherpa.ac.uk/id/publisher_policy/1141																									
101504991	ACS applied materials & interfaces	ACS Appl Mater Interfaces	United States	Washington, D.C.	American Chemical Society	2009		Monthly	1944-8252	1944-8244	1944-8244	eng	N	2009.0	Y	Y	IM	http://pubs.acs.org/loi/aamick	Y	1944-8252	yes	12.0	yes	yes	yes	ACS Applied Materials and Interfaces	1944-8252	1944-8244	http://pubs.acs.org/journal/aamick	4.0	us	society_publisher	http://pubs.acs.org/	American Chemical Society	7761.0	https://v2.sherpa.ac.uk/id/publisher_policy/4																									
101654670	ACS biomaterials science & engineering	ACS Biomater Sci Eng	United States	Washington, DC	American Chemical Society	2015		Monthly	2373-9878		2373-9878	eng	N	2020.0	Y	Y	IM	https://pubs.acs.org/journal/abseba	Y	2373-9878	yes	12.0	yes	yes	yes	ACS Biomaterials Science and Engineering	2373-9878		http://pubs.acs.org/journal/abseba	4.0	us	society_publisher	http://pubs.acs.org/	American Chemical Society	31995.0	https://v2.sherpa.ac.uk/id/publisher_policy/4																									
101282906	ACS chemical biology	ACS Chem Biol	United States	Washington, D.C.	American Chemical Society	2006		Monthly	1554-8937	1554-8929	1554-8929	eng	N	2006.0	Y	Y	IM	http://pubs.acs.org/journals/acbcct/index.html	Y	1554-8937	yes	12.0	yes	yes	yes	ACS Chemical Biology	1554-8937	1554-8929	http://pubs.acs.org/journal/acbcct	4.0	us	society_publisher	http://pubs.acs.org/	American Chemical Society	7762.0	https://v2.sherpa.ac.uk/id/publisher_policy/4																									
101525337	ACS chemical neuroscience	ACS Chem Neurosci	United States	Washington, D.C.	American Chemical Society	2010		Monthly	1948-7193		1948-7193	eng	N	2010.0	Y	Y	IM	http://pubs.acs.org/journal/acncdm	Y	1948-7193	yes	12.0	yes	yes	yes	ACS Chemical Neuroscience		1948-7193	http://pubs.acs.org/journal/acncdm	4.0	us	society_publisher	http://pubs.acs.org/	American Chemical Society	7763.0	https://v2.sherpa.ac.uk/id/publisher_policy/4																									
101654580	ACS infectious diseases	ACS Infect Dis	United States	Washington, DC	ACS Publications	2015		Monthly	2373-8227		2373-8227	eng	N	2016.0	Y	Y	IM	http://pubs.acs.org/journal/aidcbc	Y	2373-8227	yes	12.0	yes	yes	yes	ACS Infectious Diseases	2373-8227		http://pubs.acs.org/journal/aidcbc	4.0	us	society_publisher	http://pubs.acs.org/	American Chemical Society	30804.0	https://v2.sherpa.ac.uk/id/publisher_policy/4																									
101313589	ACS nano	ACS Nano	United States	Washington D.C.	American Chemical Society	2007		Monthly	1936-086X	1936-0851	1936-0851	eng	N	2007.0	Y	Y	IM	http://pubs.acs.org/journals/ancac3/index.html	Y	1936-086X	yes	12.0	yes	yes	yes	ACS Nano	1936-086X	1936-0851	http://pubs.acs.org/journal/ancac3	4.0	us	society_publisher	http://pubs.acs.org/	American Chemical Society	7765.0	https://v2.sherpa.ac.uk/id/publisher_policy/4																									
101669031	ACS sensors	ACS Sens	United States	Washington, DC	American Chemical Society	2016		Monthly	2379-3694		2379-3694	eng	N	2017.0	Y	Y	IM	http://pubs.acs.org/journal/ascefj	Y	2379-3694	yes	12.0	yes	yes	yes	ACS Sensors	2379-3694		https://pubs.acs.org/journal/ascefj	4.0	us	society_publisher	http://pubs.acs.org/	American Chemical Society	38411.0	https://v2.sherpa.ac.uk/id/publisher_policy/4																									
101575075	ACS synthetic biology	ACS Synth Biol	United States	Washington, D.C.	American Chemical Society	2012		Monthly	2161-5063		2161-5063	eng	N	2012.0	Y	Y	IM	http://pubs.acs.org/journal/asbcd6	Y	2161-5063	yes	12.0	yes	yes	yes	ACS Synthetic Biology	2161-5063		http://pubs.acs.org/page/asbcd6/about.html	4.0	us	society_publisher	http://pubs.acs.org/	American Chemical Society	21296.0	https://v2.sherpa.ac.uk/id/publisher_policy/4																									
0370270	Acta anaesthesiologica Scandinavica	Acta Anaesthesiol Scand	England	Oxford, UK	Wiley-Blackwell	1957		Ten no. a year,	1399-6576	0001-5172	0001-5172	eng	N	1965.0	Y	Y	IM	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1399-6576	Y	1399-6576	yes	12.0	yes	yes	yes	Acta Anaesthesiologica Scandinavica	1399-6576	0001-5172	https://onlinelibrary.wiley.com/journal/13996576	580.0	us	commercial_publisher	https://www.wiley.com/en-gb	Wiley	6770.0	https://v2.sherpa.ac.uk/id/publisher_policy/580																									
101206716	Acta biochimica et biophysica Sinica	Acta Biochim Biophys Sin (Shanghai)	China	Shanghai	Oxford University Press	2004		Monthly	1745-7270	1672-9145	1672-9145	eng	Y	2004.0	Y	Y	IM	https://academic.oup.com/abbs	Y	1745-7270																																									
14520300R	Acta biochimica Polonica	Acta Biochim Pol	Poland	Warszawa	Panstwowe Wydawnictwo Naukowe	1954		Quarterly	1734-154X	0001-527X	0001-527X	mul	N	1965.0	Y	Y	IM	http://www.actabp.pl/	Y	1734-154X	yes					Acta Biochimica Polonica	1734-154X	0001-527X	http://www.actabp.pl/	2609.0	pl	society_publisher	http://www.ptbioch.edu.pl/	Polskie Towarzystwo Biochemiczne	30716.0	https://v2.sherpa.ac.uk/id/publisher_policy/2609	1734-154X	1734-154X		Acta Biochimica Polonica	1734-154X	No	2022-05-23T10:09:09Z	2022.0	yes																
101194794	Acta of bioengineering and biomechanics	Acta Bioeng Biomech	Poland	Wrocław	Oficyna Wydawnicza Politechniki Wrocławskiej	1999		Irregular		1509-409X	1509-409X	eng	N	2007.0	Y	Y	IM	http://www.actabio.pwr.wroc.pl/archive.php	Y	1509-409X																																									
101233144	Acta biomaterialia	Acta Biomater	England	Kidlington, Oxford, UK	Elsevier	2005		Monthly,	1878-7568	1742-7061	1742-7061	eng	N	2005.0	Y	Y	IM	http://www.sciencedirect.com/science/journal/17427061	Y	1878-7568	yes	12.0	yes	yes	yes	Acta Biomaterialia	1878-7568	1742-7061	https://www.journals.elsevier.com/acta-biomaterialia	30.0	us	commercial_publisher	http://www.elsevier.com/	Elsevier	172.0	https://v2.sherpa.ac.uk/id/publisher_policy/3329																									
101295064	Acta bio-medica : Atenei Parmensis	Acta Biomed	Italy	Fidenza, Parma	Mattioli 1885	2002		Three no. a year	2531-6745	0392-4203	0392-4203	eng	Y	2002.0	Y	Y	IM	http://www.mattioli1885journals.com/index.php/actabiomedica/issue/archive	Y	2531-6745																																									
0421520	Acta biotheoretica	Acta Biotheor	Netherlands	Dordrecht	Springer	1935		Four no. a year	1572-8358	0001-5342	0001-5342	eng	N	1965.0	Y	Y	IM	https://link.springer.com/journal/10441	Y	1572-8358	yes	12.0	yes	yes	yes	Acta Biotheoretica	1572-8358	0001-5342	http://link.springer.com/journal/10441	3291.0	gb	commercial_publisher	https://www.springernature.com/gp/products/journals	Springer	11753.0	https://v2.sherpa.ac.uk/id/publisher_policy/3291																									
0370570	Acta cardiologica	Acta Cardiol	England	London	Taylor & Francis	1946		Bimonthly	1784-973X	0001-5385	0001-5385	eng	N	1965.0	Y	Y	IM	http://www.tandfonline.com/loi/tacd20	Y	1784-973X	yes	12.0	yes	yes	yes	Acta Cardiologica	0373-7934	0001-5385	https://www.tandfonline.com/journals/TACD	62039.0	gb	commercial_publisher	https://taylorandfrancis.com/	Taylor and Francis Group	32978.0	https://v2.sherpa.ac.uk/id/publisher_policy/1141																									
101247110	Acta chimica Slovenica	Acta Chim Slov	Slovenia	Ljubljana	Slovenian Chemical Society	1993		Quarterly	1580-3155	1318-0207	1318-0207	eng	N	2013.0	Y	Y	IM	https://journals.matheo.si/index.php/ACSi	Y	1580-3155	yes	0.0	yes			Acta Chimica Slovenica	1580-3155	1318-0207	https://acta.chem-soc.si/	62523.0	si	society_publisher	http://chem-soc.si/portal	Slovenian Chemical Society	36687.0	https://v2.sherpa.ac.uk/id/publisher_policy/3504	1580-3155	1580-3155		Acta Chimica Slovenica	1580-3155	Yes	2003-12-17T00:00:00Z	2003.0	yes																
0370571	Acta chirurgica Belgica	Acta Chir Belg	England	London	Taylor & Francis	1946		Bimonthly		0001-5458	0001-5458	fre	N	1965.0	Y	Y	IM	http://www.tandfonline.com/loi/tacb20	Y	0001-5458	yes	12.0	yes	yes	yes	Acta Chirurgica Belgica		0001-5458	https://www.tandfonline.com/journals/TACB	62039.0	gb	commercial_publisher	https://taylorandfrancis.com/	Taylor and Francis Group	33499.0	https://v2.sherpa.ac.uk/id/publisher_policy/1141																									
0407123	Acta chirurgiae orthopaedicae et traumatologiae Cechoslovaca	Acta Chir Orthop Traumatol Cech	Czech Republic	Praha	Scientia Medica	1950		Bimonthly		0001-5415	0001-5415	cze	N	1965.0	Y	Y	IM	http://www.achot.cz/vydanacisla.php	Y	0001-5415																																									
0370301	Acta chirurgiae plasticae	Acta Chir Plast	Czech Republic	Praha	Galen Prague	1959		Four no. a year	1805-4404	0001-5423	0001-5423	eng	N	1965.0	Y	N	IM		Y	1805-4404																																									
9103983	Acta cirúrgica brasileira	Acta Cir Bras	Brazil	Sao Paulo	Sociedade Brasileira Para O Desenvolvimento Da Pesquisa Em Cirurgia Curso De Pos-Graduacao Em Tecnica Operatoria E Cirurgia Experimental Escola Paulista De Medicina	1986		Quarterly	1678-2674	0102-8650	0102-8650	eng	N	2005.0	Y	Y	IM	http://www.scielo.br/scielo.php?script=sci_issues&pid=0102-8650&lng=en&nrm=iso	Y	1678-2674																	1678-2674	1678-2674		Acta Cirúrgica Brasileira	1678-2674	No	2004-04-23T21:31:00Z	2004.0	yes																
0370306	Acta clinica Belgica	Acta Clin Belg	England	Abingdon	Taylor & Francis	1946		Six no. a year	2295-3337	1784-3286	1784-3286	eng	N	1965.0	Y	Y	IM	http://www.tandfonline.com/toc/yacb20/current	Y	2295-3337	yes	12.0	yes	yes	yes	Acta Clinica Belgica	2295-3337	1784-3286	https://www.tandfonline.com/journals/YACB	62039.0	gb	commercial_publisher	https://taylorandfrancis.com/	Taylor and Francis Group	6326.0	https://v2.sherpa.ac.uk/id/publisher_policy/1141																									
9425483	Acta clinica Croatica	Acta Clin Croat	Croatia	Zagreb	Sestre Milosrdnice University Hospital, Institute for Clinical Medical Research	1991		Four no. a year	1333-9451	0353-9466	0353-9466	eng	N	2008.0	Y	Y	IM	http://hrcak.srce.hr/acta-clinica-croatica	Y	1333-9451	yes					Acta Clinica Croatica	1333-9451	0353-9466	https://actaclinica.eu/	63973.0	hr	university_publisher	https://www.kbcsm.hr/	Klinički bolnički centar Sestre milosrdnice	41203.0	https://v2.sherpa.ac.uk/id/publisher_policy/5839	1333-9451	1333-9451		Acta Clinica Croatica	1333-9451	No	2018-07-15T17:06:58Z	2018.0	yes																
101620182	Acta crystallographica. Section A, Foundations and advances	Acta Crystallogr A Found Adv	United States	Malden, MA	John Wiley & Sons Ltd	2014		Bimonthly	2053-2733		2053-2733	eng	Y	2014.0	Y	Y	IM	http://journals.iucr.org/a/	Y	2053-2733	yes	0.0	yes	yes	yes	Acta Crystallographica Section A: Foundations and Advances	2053-2733		http://journals.iucr.org/a/journalhomepage.html	332.0	gb	client_organisation	http://www.iucr.org/	International Union of Crystallography	29901.0	https://v2.sherpa.ac.uk/id/publisher_policy/332																									
101609037	Acta crystallographica Section B, Structural science, crystal engineering and materials	Acta Crystallogr B Struct Sci Cryst Eng Mater	England	Oxford	Wiley-Blackwell	2013		Bimonthly	2052-5206	2052-5192	2052-5192	eng	Y	2013.0	Y	Y	IM	http://journals.iucr.org/b/	Y	2052-5206	yes	0.0	yes	yes	yes	Acta Crystallographica Section B: Structural Science, Crystal Engineering and Materials	2052-5206	2052-5192	http://journals.iucr.org/b/journalhomepage.html	332.0	gb	client_organisation	http://www.iucr.org/	International Union of Crystallography	29902.0	https://v2.sherpa.ac.uk/id/publisher_policy/332																									
101620313	Acta crystallographica. Section C, Structural chemistry	Acta Crystallogr C Struct Chem	England	Chester	International Union of Crystallography	2014		Monthly	2053-2296		2053-2296	eng	Y	2014.0	Y	Y	IM	http://onlinelibrary.wiley.com/journal/10.1107/S20532296	Y	2053-2296	yes	0.0	yes	yes	yes	Acta Crystallographica Section C: Structural Chemistry	2053-2296		http://journals.iucr.org/c/journalhomepage.html	332.0	gb	client_organisation	http://www.iucr.org/	International Union of Crystallography	29903.0	https://v2.sherpa.ac.uk/id/publisher_policy/332																									
101676043	Acta crystallographica. Section D, Structural biology	Acta Crystallogr D Struct Biol	United States	Medford, MA	John Wiley & Sons	2016		Monthly	2059-7983		2059-7983	eng	Y	2016.0	Y	Y	IM	http://journals.iucr.org/d/	Y	2059-7983	yes	0.0	yes	yes	yes	Acta Crystallographica Section D: Structural Biology	2059-7983		http://journals.iucr.org/d/index.html	332.0	gb	society_publisher	http://www.iucr.org/	International Union of Crystallography	35453.0	https://v2.sherpa.ac.uk/id/publisher_policy/332																									
101620319	Acta crystallographica. Section F, Structural biology communications	Acta Crystallogr F Struct Biol Commun	United States	Malden, MA	John Wiley & Sons Inc.	2013		Monthly	2053-230X		2053-230X	eng	Y	2014.0	Y	Y	IM	http://journals.iucr.org/f/	Y	2053-230X	yes	0.0	yes	yes	yes	Acta Crystallographica Section F: Structural Biology Communications	2053-230X		http://journals.iucr.org/f/journalhomepage.html	332.0	gb	society_publisher	http://www.iucr.org/	International Union of Crystallography	26674.0	https://v2.sherpa.ac.uk/id/publisher_policy/332																									
0370307	Acta cytologica	Acta Cytol	Switzerland	Basel	Karger	1957		Bimonthly,	1938-2650	0001-5547	0001-5547	eng	N	1964.0	Y	Y	IM	http://www.karger.com/acy	Y	1938-2650	yes	0.0	yes	yes	yes	Acta Cytologica	1938-2650	0001-5547	https://www.karger.com/ACY	242.0	ch	commercial_publisher	http://www.karger.com/	Karger Publishers	19886.0	https://v2.sherpa.ac.uk/id/publisher_policy/4339																									
0370310	Acta dermato-venereologica	Acta Derm Venereol	Sweden	Uppsala	Society for the Publication of Acta Dermato-Venereologica	1920		Bimonthly	1651-2057	0001-5555	0001-5555	eng	N	1965.0	Y	Y	IM	http://www.medicaljournals.se/acta/content/	Y	1651-2057	yes	0.0	yes			Acta Dermato-Venereologica	1651-2057	0001-5555	https://medicaljournalssweden.se/actadv	723.0	se	society_publisher	http://www.medicaljournals.se/acta/	Society for Publication of Acta Dermato-Venereologica	13690.0	https://v2.sherpa.ac.uk/id/publisher_policy/723	1651-2057	1651-2057		Acta Dermato-Venereologica	1651-2057	No	2011-11-10T12:31:05Z	2011.0	yes																
9422563	Acta dermatovenerologica Alpina, Pannonica, et Adriatica	Acta Dermatovenerol Alp Pannonica Adriat	Slovenia	Ljubljana	Združenje Slovenskih Dermatovenerologov	1992		Quarterly	1581-2979	1318-4458	1318-4458	eng	N	2005.0	Y	Y	IM	http://www.acta-apa.org/	Y	1581-2979																																									
9433781	Acta dermatovenerologica Croatica : ADC	Acta Dermatovenerol Croat	Croatia	Zagreb	Croatian Dermatovenerological Society	1993		Four no. a year	1847-6538	1330-027X	1330-027X	hrv	N	2001.0	Y	Y	IM	http://adc.mef.hr/index.php/adc/issue/archive	Y	1847-6538																																									
9200299	Acta diabetologica	Acta Diabetol	Germany	Berlin	Springer Verlag	1991		Four no. a year	1432-5233	0940-5429	0940-5429	eng	N	1991.0	Y	Y	IM	https://link.springer.com/journal/592	Y	1432-5233	yes	12.0	yes	yes	yes	Acta Diabetologica	1432-5233	0940-5429	http://link.springer.com/journal/592	3291.0	gb	commercial_publisher	https://www.springernature.com/gp/products/journals	Springer	11754.0	https://v2.sherpa.ac.uk/id/publisher_policy/3291																									
0414075	Acta gastro-enterologica Belgica	Acta Gastroenterol Belg	Belgium	Wetteren, Belgium	Universa Press	1946		Four no. a year		1784-3227	1784-3227	eng	N	1965.0	Y	N	IM		Y	1784-3227																																									
0141053	Acta haematologica	Acta Haematol	Switzerland	Basel	Karger.	1948		Eight no. a year	1421-9662	0001-5792	0001-5792	eng	N	1965.0	Y	Y	IM	http://www.karger.com/aha	Y	1421-9662	yes	0.0	yes	yes	yes	Acta Haematologica	1421-9662	0001-5792	https://www.karger.com/AHA	242.0	ch	commercial_publisher	http://www.karger.com/	Karger Publishers	8971.0	https://v2.sherpa.ac.uk/id/publisher_policy/4339																									
0370320	Acta histochemica	Acta Histochem	Germany	Jena	Gustav Fischer Verlag	1954		Six no. a year,	1618-0372	0065-1281	0065-1281	ger	N	1964.0	Y	Y	IM	http://www.sciencedirect.com/science/journal/00651281	Y	1618-0372	yes	12.0	yes	yes	yes	Acta Histochemica: Research and Methods in Cell and Tissue Biology		0065-1281	https://www.sciencedirect.com/journal/acta-histochemica	30.0	us	commercial_publisher	http://www.elsevier.com/	Elsevier	377.0	https://v2.sherpa.ac.uk/id/publisher_policy/2823																									
101587903	Acta medica academica	Acta Med Acad	Bosnia and Herzegovina	Sarajevo	Akademija nauka i umjetnosti Bosne i Hercegovine	2006		Three issues a year,	1840-2879	1840-1848	1840-1848	eng	N	2012.0	Y	Y	IM	http://www.ama.ba/index.php/ama/issue/archive	Y	1840-2879																	1840-2879	1840-2879		Acta Medica Academica	1840-2879	No	2013-01-08T11:33:20Z	2013.0	yes																
101241032	Acta medico-historica adriatica : AMHA	Acta Med Hist Adriat	Croatia	Rijeka [Croatia]	Hrvatsko znanstveno društvo za povijest zdravstvene kulture	2003		Two no. a year	1334-6253	1334-4366	1334-4366	eng	N	2009.0	Y	Y	IM	http://hrcak.srce.hr/amha?lang=en	Y	1334-6253																	1334-6253	1334-6253		Acta Medico-Historica Adriatica	1334-6253	No	2018-09-07T10:29:11Z	2018.0	yes																
7901042	Acta medica Indonesiana	Acta Med Indones	Indonesia	Jakarta, Indonesia	Indonesian Society of Internal Medicine	1968		Quarterly,		0125-9326	0125-9326	eng	N	2004.0	Y	Y	IM	http://www.actamedindones.org/index.php/ijim	Y	0125-9326																		0125-9326	2338-2732	Acta Medica Indonesiana	2338-2732	No	2013-10-03T13:46:32Z	2013.0	yes																
0417611	Acta medica Okayama	Acta Med Okayama	Japan	Okayama	Okayama University Medical School	1973		Six no. a year		0386-300X	0386-300X	eng	N	1973.0	Y	Y	IM	http://escholarship.lib.okayama-u.ac.jp/amo/	Y	0386-300X																																									
7906803	Acta médica portuguesa	Acta Med Port	Portugal	Lisboa	Centro Editor Livreiro da Ordem dos Médicos	1979		Bimonthly,	1646-0758	0870-399X	0870-399X	eng	N	1979.0	Y	Y	IM	http://www.actamedicaportuguesa.com/	Y	1646-0758	yes	0.0	yes			Acta Médica Portuguesa	1646-0758		http://www.actamedicaportuguesa.com/	1049.0	pt	society_publisher	https://www.ordemdosmedicos.pt/	Ordem dos Médicos	21341.0	https://v2.sherpa.ac.uk/id/publisher_policy/1049	1646-0758	1646-0758		Acta Médica Portuguesa	1646-0758	No	2008-02-15T09:10:29Z	2008.0	yes																
